index,expected,actual,diff
0,751.719,751.719,0.00012207
1,9838.47,9838.47,0
2,5692.61,5692.61,0.000488281
3,16172.1,16172.1,0.000976562
4,4991.55,4991.55,0.000488281
5,-12167,-12167,0
6,5999.28,5999.28,0
7,-19788,-19788,0
8,-4742.87,-4742.87,0.000488281
9,-9688.63,-9688.63,0.000976562
10,17389.8,17389.8,0.00195312
11,-12378.4,-12378.4,0
12,-4770.9,-4770.9,0.000488281
13,11337.2,11337.2,0.000976562
14,5228.67,5228.67,0.000976562
15,4222.1,4222.1,0.000488281
16,2499.16,2499.16,0.00146484
17,308.204,308.204,6.10352e-05
18,4279.24,4279.24,0.000976562
19,-14197.6,-14197.6,0.000976562
20,-284.347,-284.347,0.000305176
21,9995.61,9995.61,0
22,22172.2,22172.2,0.00195312
23,13836.8,13836.8,0.000976562
24,1570.85,1570.85,0
25,6379.47,6379.47,0.000976562
26,-6507.19,-6507.19,0.000488281
27,-16012.7,-16012.7,0.000976562
28,20273,20273,0.00390625
29,5257.04,5257.04,0.000488281
30,4473.23,4473.23,0.000976562
31,2665.81,2665.81,0
32,19357.5,19357.5,0
33,15463,15463,0
34,-1091.05,-1091.05,0.000366211
35,124.065,124.065,0.000137329
36,9136.38,9136.38,0
37,3018.86,3018.86,0.000244141
38,4695.28,4695.28,0.000488281
39,-6687.55,-6687.55,0.000976562
40,-3470.08,-3470.08,0.000244141
41,-10434.9,-10434.9,0
42,462.526,462.526,0.000732422
43,-980.702,-980.702,0.000488281
44,14812.8,14812.8,0
45,6162.16,6162.16,0.000488281
46,8478.99,8478.99,0.000976562
47,7280.28,7280.28,0.000488281
48,-12922.1,-12922.1,0.000976562
49,8042.48,8042.48,0.000488281
50,-4263.81,-4263.8,0.000976562
51,-21943.9,-21943.9,0
52,3967.15,3967.15,0.000976562
53,-2308.31,-2308.31,0.000976562
54,-2702.83,-2702.83,0.00146484
55,-3695.02,-3695.02,0.000488281
56,-15180.1,-15180.1,0.00195312
57,5122.59,5122.58,0.00195312
58,-23962.5,-23962.5,0.00195312
59,13561.7,13561.7,0.000976562
60,11229.5,11229.5,0
61,-3161.96,-3161.96,0.000732422
62,670.141,670.141,0.000549316
63,12723.9,12723.9,0.000976562
64,1906.42,1906.42,0.00012207
65,-6084.89,-6084.89,0
66,-1160.11,-1160.11,0.000732422
67,-8592.94,-8592.94,0
68,15470.4,15470.4,0.00195312
69,16498.5,16498.5,0.00195312
70,2058.07,2058.07,0.0012207
71,-1164.31,-1164.31,0.00109863
72,-6284.61,-6284.61,0.000488281
73,5523.96,5523.96,0
74,3651.8,3651.8,0.000488281
75,3682.53,3682.53,0.000488281
76,14561.5,14561.5,0
77,-5596.01,-5596.02,0.000488281
78,-22943.9,-22943.9,0
79,19474.6,19474.6,0
80,-3240.65,-3240.65,0.000244141
81,2279.65,2279.65,0.000732422
82,891.799,891.8,0.000732422
83,3748.9,3748.9,0.000976562
84,3538.67,3538.67,0.000488281
85,399.71,399.711,0.000335693
86,6767.31,6767.32,0.00146484
87,6351.58,6351.58,0.000976562
88,1932.16,1932.16,0.00012207
89,-6118.88,-6118.88,0.000488281
90,-13061.3,-13061.3,0
91,15421,15421,0.000976562
92,1682.76,1682.76,0.000366211
93,-13324,-13324,0.00195312
94,-920.935,-920.934,0.000854492
95,-224.696,-224.695,0.000610352
96,2001.92,2001.92,0.00012207
97,4473.44,4473.44,0.000488281
98,-15161.2,-15161.2,0.00195312
99,-13418.5,-13418.5,0
100,-6329.74,-6329.74,0.000488281
101,-737.985,-737.984,0.00109863
102,-8496.5,-8496.5,0.000976562
103,8230.5,8230.5,0
104,-10052.4,-10052.4,0
105,2924.04,2924.04,0.000488281
106,-705.601,-705.602,6.10352e-05
107,8207.5,8207.5,0
108,-14476.2,-14476.2,0
109,1122.03,1122.03,0.00146484
110,-8511.07,-8511.07,0
111,-13677.9,-13677.9,0
112,4252.26,4252.26,0.000488281
113,3216.88,3216.87,0.000488281
114,11097.6,11097.6,0.000976562
115,7645.66,7645.66,0
116,6074.88,6074.88,0.000488281
117,2821.26,2821.26,0.000488281
118,-6974.46,-6974.46,0.000488281
119,-8898.08,-8898.08,0.00195312
120,2248.92,2248.92,0
121,-3485.26,-3485.26,0.000244141
122,-5506.08,-5506.08,0.000488281
123,-15576.2,-15576.2,0.000976562
124,18073.3,18073.3,0.00195312
125,9917.19,9917.19,0.000976562
126,18827,18827,0.00195312
