block_id,MSE,max_error
0,0.000451813,0.170044
1,0.000428133,0.165527
2,0.000405088,0.161011
3,0.000418715,0.163696
4,0.00044471,0.168701
5,0.000483494,0.175903
6,0.000573197,0.191528
7,0.000620908,0.199341
8,0.000674479,0.207764
9,0.000630065,0.200806
10,0.000647029,0.203491
11,0.000667366,0.206665
12,0.000672106,0.207397
13,0.000513529,0.181274
14,0.000392357,0.158447
15,0.000285899,0.135254
16,0.00025868,0.128662
17,0.000310095,0.140869
18,0.000232155,0.121887
19,0.000203345,0.114075
20,0.0001905,0.110413
21,0.000182579,0.108093
22,0.000190918,0.110535
23,0.00021504,0.11731
24,0.000263611,0.129883
25,0.000344302,0.148438
26,0.000442152,0.168213
27,0.000284041,0.134766
28,0.000224116,0.11969
29,0.000359234,0.151611
30,0.000424414,0.164795
31,0.000586587,0.193726
32,0.000509551,0.180542
33,0.000464267,0.172363
34,0.000525992,0.183472
35,0.000628627,0.200562
36,0.000255945,0.12793
37,0.000106953,0.0827026
38,0.000419478,0.163818
39,0.000538663,0.185669
40,0.000544336,0.186646
41,0.000464269,0.172363
42,0.000346013,0.148804
43,0.000280729,0.134033
44,0.000260149,0.129028
45,0.000263111,0.129761
46,0.000229839,0.121277
47,0.000194315,0.111511
48,0.000165672,0.102966
49,0.000152585,0.0988159
50,0.000152963,0.098938
51,0.000158292,0.100647
52,0.00015315,0.098999
53,0.000143307,0.0957642
54,0.000146427,0.0968018
55,0.000154476,0.0994263
56,0.000153909,0.0992432
57,0.000142762,0.0955811
58,0.000136807,0.0935669
59,0.000121889,0.0883179
60,0.000119542,0.0874634
61,0.000117879,0.086853
62,0.000117548,0.086731
63,0.000116228,0.0862427
64,0.00041497,0.162964
65,0.000382684,0.156494
66,0.000367901,0.153442
67,0.000372597,0.154419
68,0.000398967,0.15979
69,0.000426866,0.165283
70,0.000495652,0.178101
71,0.000554363,0.188354
72,0.000606551,0.197021
73,0.000555098,0.188477
74,0.00060057,0.196045
75,0.000639286,0.202271
76,0.000658721,0.205322
77,0.000545106,0.186768
78,0.000367917,0.153442
79,0.000264103,0.130005
80,0.000261623,0.129395
81,0.000285344,0.135132
