index,expected,actual,diff
0,0.813889,0.813828,6.10352e-05
1,0.605499,0.605453,4.57764e-05
2,0.415543,0.415512,3.05176e-05
3,0.390289,0.390289,0
4,0.792572,0.792572,0
5,-0.0150757,-0.0150909,1.52588e-05
6,-0.345703,-0.345703,0
7,-0.48645,-0.486465,1.52588e-05
8,2.77962,2.78001,0.000396729
9,0.0439758,0.0439758,0
10,1.00658,1.00658,0
11,-0.107391,-0.107407,1.52588e-05
12,1.20093,1.20105,0.00012207
13,-0.00979614,-0.00982666,3.05176e-05
14,-0.272415,-0.272415,0
15,0.00192261,0.00195312,3.05176e-05
16,0.636429,0.636215,0.000213623
17,-4.82204,-4.82217,0.000137329
18,-0.428986,-0.429016,3.05176e-05
19,-0.0773926,-0.0773468,4.57764e-05
20,-0.182251,-0.182251,0
21,-0.191986,-0.191971,1.52588e-05
22,0.414749,0.414719,3.05176e-05
23,-0.218369,-0.218384,1.52588e-05
24,1.06898,1.06892,6.10352e-05
25,0.517014,0.516983,3.05176e-05
26,-0.307434,-0.307327,0.000106812
27,-0.44577,-0.445709,6.10352e-05
28,-0.0440826,-0.0440826,0
29,-1.08502,-1.08504,1.52588e-05
30,0.318192,0.318176,1.52588e-05
31,-0.56192,-0.56189,3.05176e-05
32,-4.03586,-4.03629,0.000427246
33,-0.304718,-0.304718,0
34,-0.620331,-0.6203,3.05176e-05
35,-0.338379,-0.338394,1.52588e-05
36,-0.386688,-0.386673,1.52588e-05
37,-0.188965,-0.188995,3.05176e-05
38,0.624924,0.624908,1.52588e-05
39,-0.149445,-0.149445,0
40,-0.252518,-0.252502,1.52588e-05
41,0.549332,0.549316,1.52588e-05
42,0.490875,0.49086,1.52588e-05
43,-0.0558014,-0.0558319,3.05176e-05
44,0.815079,0.815063,1.52588e-05
45,-0.156662,-0.156662,0
46,0.363922,0.363953,3.05176e-05
47,-0.332611,-0.332611,0
48,-0.467346,-0.467346,0
49,0.478806,0.478821,1.52588e-05
50,0.17424,0.174225,1.52588e-05
51,0.403076,0.403061,1.52588e-05
52,-0.73912,-0.73912,0
53,-0.00930786,-0.00932312,1.52588e-05
54,-0.565613,-0.565598,1.52588e-05
55,0.0491333,0.0491333,0
56,0.020874,0.0208588,1.52588e-05
57,0.875977,0.875961,1.52588e-05
58,0.648056,0.648041,1.52588e-05
59,0.350128,0.350128,0
60,0.0299988,0.0299988,0
61,0.0814819,0.0814362,4.57764e-05
62,-0.735291,-0.735306,1.52588e-05
63,0.204361,0.204346,1.52588e-05
64,-4.61156,-4.61153,3.05176e-05
65,-3.48907,-3.48929,0.000213623
66,0.17308,0.173065,1.52588e-05
67,0.179459,0.179413,4.57764e-05
68,-0.981537,-0.981552,1.52588e-05
69,0.461502,0.461487,1.52588e-05
70,0.614227,0.614197,3.05176e-05
71,-0.979996,-0.979996,0
72,0.189011,0.189011,0
73,0.435669,0.435654,1.52588e-05
74,0.170914,0.170929,1.52588e-05
75,0.212677,0.212662,1.52588e-05
76,0.576035,0.575989,4.57764e-05
77,-0.555084,-0.555084,0
78,0.190567,0.190598,3.05176e-05
79,1.1461,1.14612,1.52588e-05
80,-0.597549,-0.597427,0.00012207
81,-2.94891,-2.94899,7.62939e-05
82,0.516785,0.516739,4.57764e-05
83,1.64723,1.64731,7.62939e-05
84,-0.359207,-0.359177,3.05176e-05
85,-0.704865,-0.704834,3.05176e-05
86,-0.176346,-0.176331,1.52588e-05
87,0.409714,0.409729,1.52588e-05
88,1.93388,1.9339,1.52588e-05
89,-0.805069,-0.805115,4.57764e-05
90,-0.0947113,-0.0947266,1.52588e-05
91,-0.0829926,-0.0829926,0
92,0.170044,0.170029,1.52588e-05
93,0.0838165,0.083786,3.05176e-05
94,0.713791,0.713791,0
95,0.324448,0.324448,0
96,-0.0549927,-0.055191,0.000198364
97,-0.295654,-0.295685,3.05176e-05
98,0.371246,0.371246,0
99,0.0284271,0.0283966,3.05176e-05
100,0.564743,0.564728,1.52588e-05
101,-0.4048,-0.4048,0
102,-0.250748,-0.250717,3.05176e-05
103,-0.320877,-0.320892,1.52588e-05
104,-1.09663,-1.09663,0
105,0.0361938,0.0362091,1.52588e-05
106,-0.994995,-0.995041,4.57764e-05
107,0.769348,0.769302,4.57764e-05
108,-0.154709,-0.154755,4.57764e-05
109,-0.81131,-0.811295,1.52588e-05
110,-0.0415039,-0.0415039,0
111,0.314026,0.314041,1.52588e-05
112,-0.210129,-0.210114,1.52588e-05
113,0.1465,0.146515,1.52588e-05
114,0.77652,0.776505,1.52588e-05
115,-0.450394,-0.450409,1.52588e-05
116,-0.299377,-0.299377,0
117,0.37146,0.37146,0
118,0.271439,0.271393,4.57764e-05
119,-0.418427,-0.418396,3.05176e-05
120,-0.833496,-0.833511,1.52588e-05
121,-0.391479,-0.391479,0
122,0.34166,0.341644,1.52588e-05
123,-0.519882,-0.519928,4.57764e-05
124,-0.578796,-0.578796,0
125,-1.3096,-1.3096,0
126,-0.0590363,-0.0590057,3.05176e-05
127,0.0833282,0.0833435,1.52588e-05
128,3.92871,3.92886,0.000152588
129,-1.65866,-1.65846,0.000198364
130,0.203125,0.203094,3.05176e-05
131,-0.22081,-0.220825,1.52588e-05
132,-0.288727,-0.288773,4.57764e-05
133,0.436249,0.436218,3.05176e-05
134,-0.118683,-0.118652,3.05176e-05
135,0.0115509,0.0115662,1.52588e-05
136,3.00554,3.00591,0.000366211
137,0.386063,0.386093,3.05176e-05
138,0.267593,0.267593,0
139,0.223892,0.223907,1.52588e-05
140,-2.50381,-2.50401,0.000198364
141,-0.929459,-0.929443,1.52588e-05
142,0.497879,0.497864,1.52588e-05
143,-0.254288,-0.254272,1.52588e-05
144,1.77905,1.77856,0.000488281
145,0.339249,0.339325,7.62939e-05
146,-0.0355835,-0.0355988,1.52588e-05
147,-1.0587,-1.05876,6.10352e-05
148,0.128616,0.128555,6.10352e-05
149,-0.694336,-0.694336,0
150,0.0332184,0.0332184,0
151,0.281097,0.281097,0
152,-5.26508,-5.26523,0.000152588
153,0.161942,0.161926,1.52588e-05
154,-0.433975,-0.433853,0.00012207
155,0.404602,0.404495,0.000106812
156,0.108292,0.108276,1.52588e-05
157,-0.116196,-0.116165,3.05176e-05
158,0.481537,0.481506,3.05176e-05
159,-0.414719,-0.414719,0
160,2.99367,2.99402,0.000350952
161,-0.00765991,-0.00765991,0
162,0.0818024,0.0817871,1.52588e-05
163,0.728928,0.728928,0
164,0.0814972,0.0815125,1.52588e-05
165,-0.226898,-0.226898,0
166,0.234787,0.234833,4.57764e-05
167,0.0186615,0.0186462,1.52588e-05
168,-0.248444,-0.248459,1.52588e-05
169,0.162643,0.162628,1.52588e-05
170,0.310745,0.31073,1.52588e-05
171,0.349579,0.349609,3.05176e-05
172,0.185822,0.185806,1.52588e-05
173,-0.0198517,-0.0198517,0
174,-0.566605,-0.566605,0
175,0.498352,0.498337,1.52588e-05
176,-0.297379,-0.297409,3.05176e-05
177,-0.0986481,-0.0986328,1.52588e-05
178,0.0419464,0.0419617,1.52588e-05
179,0.457855,0.45784,1.52588e-05
180,0.306107,0.306137,3.05176e-05
181,-0.134415,-0.134415,0
182,0.394897,0.394897,0
183,0.3246,0.3246,0
184,0.840393,0.840439,4.57764e-05
185,-1.35899,-1.35896,3.05176e-05
186,0.53421,0.534225,1.52588e-05
187,0.700333,0.700348,1.52588e-05
188,0.242081,0.242081,0
189,-0.562027,-0.561996,3.05176e-05
190,0.18129,0.181274,1.52588e-05
191,-0.728607,-0.728622,1.52588e-05
192,-1.91127,-1.91133,6.10352e-05
193,-1.662,-1.66217,0.000167847
194,0.482208,0.482224,1.52588e-05
195,0.360046,0.360046,0
196,-0.296051,-0.296066,1.52588e-05
197,-0.891525,-0.891479,4.57764e-05
198,-0.234573,-0.234589,1.52588e-05
199,-0.52327,-0.523285,1.52588e-05
200,-2.60934,-2.60962,0.000274658
201,0.363846,0.363846,0
202,0.457474,0.457474,0
203,0.309937,0.309921,1.52588e-05
204,-0.735275,-0.735275,0
205,-0.739441,-0.739456,1.52588e-05
206,-0.127808,-0.127808,0
207,-0.378555,-0.378571,1.52588e-05
208,-1.24049,-1.24023,0.000259399
209,2.44823,2.44812,0.000106812
210,0.343155,0.34317,1.52588e-05
211,0.386078,0.386124,4.57764e-05
212,-0.285889,-0.285965,7.62939e-05
213,0.0686188,0.0686035,1.52588e-05
214,-0.377914,-0.37793,1.52588e-05
215,-0.00706482,-0.00708008,1.52588e-05
216,2.54849,2.54848,1.52588e-05
217,-0.695526,-0.695557,3.05176e-05
218,0.516281,0.516083,0.000198364
219,-1.13664,-1.13631,0.000335693
220,0.397995,0.39798,1.52588e-05
221,0.744263,0.744263,0
222,0.119659,0.11969,3.05176e-05
223,0.584045,0.584076,3.05176e-05
224,0.403275,0.403229,4.57764e-05
225,-0.29248,-0.292465,1.52588e-05
226,-0.990692,-0.990646,4.57764e-05
227,0.500778,0.500763,1.52588e-05
228,0.483139,0.483124,1.52588e-05
229,-0.300781,-0.30072,6.10352e-05
230,-0.108047,-0.108078,3.05176e-05
231,0.449295,0.44928,1.52588e-05
232,0.115067,0.115067,0
233,0.325363,0.325363,0
234,-0.170044,-0.170059,1.52588e-05
235,0.0561676,0.0561676,0
236,-0.259232,-0.259216,1.52588e-05
237,1.08174,1.08171,3.05176e-05
238,-0.069458,-0.0694122,4.57764e-05
239,-0.0675659,-0.0675812,1.52588e-05
240,-1.00023,-1.0002,3.05176e-05
241,0.533035,0.533005,3.05176e-05
242,-0.510956,-0.510971,1.52588e-05
243,-0.275726,-0.275681,4.57764e-05
244,-0.29187,-0.291855,1.52588e-05
245,-1.27025,-1.27028,3.05176e-05
246,-0.123245,-0.12326,1.52588e-05
247,0.250565,0.250549,1.52588e-05
248,0.128601,0.128555,4.57764e-05
249,-0.20816,-0.20813,3.05176e-05
250,-0.0591736,-0.0591888,1.52588e-05
251,0.0812073,0.0812073,0
252,0.380569,0.380554,1.52588e-05
253,-0.157959,-0.157974,1.52588e-05
254,-0.21225,-0.212265,1.52588e-05
255,0.00222778,0.00222778,0
256,0.489548,0.489548,0
257,2.56314,2.56313,1.52588e-05
258,0.424515,0.42453,1.52588e-05
259,0.193619,0.193634,1.52588e-05
260,0.0214691,0.0214844,1.52588e-05
261,-0.187866,-0.187897,3.05176e-05
262,-1.31609,-1.31607,1.52588e-05
263,-0.672729,-0.672714,1.52588e-05
264,-3.13136,-3.13167,0.000305176
265,0.568466,0.568481,1.52588e-05
266,0.502335,0.502365,3.05176e-05
267,0.275238,0.275269,3.05176e-05
268,-3.39816,-3.39844,0.000274658
269,-0.156448,-0.156494,4.57764e-05
270,-0.263885,-0.26387,1.52588e-05
271,0.065033,0.065033,0
272,-0.828384,-0.828201,0.000183105
273,1.53384,1.53387,3.05176e-05
274,-0.450577,-0.450592,1.52588e-05
275,1.14301,1.14316,0.000152588
276,-0.365952,-0.365952,0
277,-0.29364,-0.293625,1.52588e-05
278,0.0288849,0.0288849,0
279,1.00728,1.00723,4.57764e-05
280,0.541687,0.541763,7.62939e-05
281,-0.147858,-0.147903,4.57764e-05
282,-0.991043,-0.990723,0.000320435
283,0.706955,0.706757,0.000198364
284,-1.20277,-1.20273,4.57764e-05
285,0.825287,0.825287,0
286,-0.488403,-0.488373,3.05176e-05
287,-0.122009,-0.122009,0
288,-2.04085,-2.04118,0.000335693
289,0.346024,0.346024,0
290,-0.59465,-0.594666,1.52588e-05
291,0.26622,0.266235,1.52588e-05
292,-0.690857,-0.690857,0
293,0.411652,0.411667,1.52588e-05
294,0.484894,0.484924,3.05176e-05
295,-0.203232,-0.203262,3.05176e-05
296,0.579941,0.579895,4.57764e-05
297,0.449112,0.449097,1.52588e-05
298,1.05183,1.05183,0
299,-0.00161743,-0.00160217,1.52588e-05
300,-0.0789948,-0.07901,1.52588e-05
301,1.23767,1.23764,3.05176e-05
302,0.445618,0.445633,1.52588e-05
303,-0.231384,-0.2314,1.52588e-05
304,-0.245026,-0.245026,0
305,-0.18045,-0.180466,1.52588e-05
306,0.638947,0.638947,0
307,0.0867157,0.0867157,0
308,0.78038,0.780365,1.52588e-05
309,-0.467545,-0.46756,1.52588e-05
310,0.408722,0.408676,4.57764e-05
311,0.0105896,0.0106049,1.52588e-05
312,0.364655,0.364655,0
313,-1.63332,-1.6333,1.52588e-05
314,0.590714,0.590729,1.52588e-05
315,0.0780792,0.0781097,3.05176e-05
316,-0.540695,-0.540665,3.05176e-05
317,-0.297714,-0.29776,4.57764e-05
318,-0.40033,-0.400314,1.52588e-05
319,-0.710892,-0.710892,0
320,3.57188,3.57185,3.05176e-05
321,1.34357,1.34351,6.10352e-05
322,1.0858,1.08583,3.05176e-05
323,-0.384506,-0.384506,0
324,0.76268,0.76268,0
325,0.220367,0.220398,3.05176e-05
326,-0.197845,-0.197861,1.52588e-05
327,-0.147552,-0.147552,0
328,-0.468369,-0.468475,0.000106812
329,0.223541,0.223557,1.52588e-05
330,-0.490265,-0.490265,0
331,-0.114197,-0.114166,3.05176e-05
332,-1.29515,-1.29524,9.15527e-05
333,-0.666672,-0.666718,4.57764e-05
334,0.718552,0.718567,1.52588e-05
335,-0.298325,-0.298325,0
336,-0.282608,-0.282455,0.000152588
337,0.491455,0.49147,1.52588e-05
338,-0.241592,-0.241562,3.05176e-05
339,-4.20517,-4.20566,0.000488281
340,0.352951,0.352951,0
341,0.385925,0.385941,1.52588e-05
342,0.219009,0.219009,0
343,-0.912186,-0.91217,1.52588e-05
344,-1.57664,-1.57669,4.57764e-05
345,0.989761,0.989716,4.57764e-05
346,-0.417038,-0.416946,9.15527e-05
347,-0.183624,-0.183533,9.15527e-05
348,0.32402,0.32402,0
349,-0.449234,-0.449249,1.52588e-05
350,-0.907913,-0.907898,1.52588e-05
351,-0.133804,-0.133789,1.52588e-05
352,-1.70547,-1.70566,0.000183105
353,-0.167816,-0.167816,0
354,0.0597687,0.0597076,6.10352e-05
355,0.474899,0.474899,0
356,-0.403915,-0.4039,1.52588e-05
357,0.224121,0.224121,0
358,-0.998566,-0.998581,1.52588e-05
359,0.347641,0.347687,4.57764e-05
360,-0.0267334,-0.0267487,1.52588e-05
361,-0.775253,-0.775269,1.52588e-05
362,-0.0368652,-0.03685,1.52588e-05
363,0.0869293,0.0869141,1.52588e-05
364,-0.00613403,-0.00613403,0
365,0.411316,0.411301,1.52588e-05
366,-0.386429,-0.386414,1.52588e-05
367,-0.146133,-0.146149,1.52588e-05
368,1.02461,1.02461,0
369,0.256134,0.256119,1.52588e-05
370,-0.319809,-0.319778,3.05176e-05
371,-1.20618,-1.20618,0
372,-0.151596,-0.151581,1.52588e-05
373,-0.475006,-0.474991,1.52588e-05
374,0.533554,0.533554,0
375,-0.352997,-0.352997,0
376,0.119507,0.119507,0
377,0.122971,0.122955,1.52588e-05
378,0.16301,0.163025,1.52588e-05
379,-0.447128,-0.447113,1.52588e-05
380,-0.701126,-0.701141,1.52588e-05
381,0.994888,0.994888,0
382,0.0438232,0.0437775,4.57764e-05
383,-0.575546,-0.575546,0
384,-3.13423,-3.13428,4.57764e-05
385,-1.69843,-1.69849,6.10352e-05
386,-0.0911713,-0.0911865,1.52588e-05
387,-0.8974,-0.897446,4.57764e-05
388,-0.739258,-0.739273,1.52588e-05
389,0.068573,0.0685577,1.52588e-05
390,0.484589,0.484604,1.52588e-05
391,-0.708817,-0.708801,1.52588e-05
392,-1.75821,-1.7585,0.000289917
393,0.207626,0.207581,4.57764e-05
