index,expected,actual,diff
0,63.0052,63.0044,0.000747681
1,2.38435,2.38519,0.000839233
2,0.080719,0.0809174,0.000198364
3,0.00958252,0.00971985,0.000137329
4,-0.738281,-0.738297,1.52588e-05
5,-0.233902,-0.233963,6.10352e-05
6,0.203552,0.203552,0
7,0.106476,0.106445,3.05176e-05
8,-1.42191,-1.42159,0.000320435
9,-0.0772858,-0.0770569,0.000228882
10,-0.566986,-0.566818,0.000167847
11,0.132263,0.132248,1.52588e-05
12,-0.688629,-0.688156,0.000473022
13,-0.473785,-0.473801,1.52588e-05
14,-0.0877991,-0.0877838,1.52588e-05
15,-0.278976,-0.279037,6.10352e-05
16,-2.19261,-2.19145,0.00115967
17,-1.88986,-1.88924,0.00062561
18,-0.501602,-0.501617,1.52588e-05
19,0.0050354,0.00494385,9.15527e-05
20,0.513168,0.513138,3.05176e-05
21,0.445953,0.445938,1.52588e-05
22,-0.448975,-0.448975,0
23,-0.185883,-0.185898,1.52588e-05
24,-1.25739,-1.25763,0.000244141
25,0.261154,0.261154,0
26,1.24469,1.24426,0.000427246
27,1.64532,1.64514,0.000183105
28,-0.56282,-0.56282,0
29,-0.14595,-0.145798,0.000152588
30,0.783249,0.783279,3.05176e-05
31,-0.351242,-0.351318,7.62939e-05
32,-0.982147,-0.982437,0.000289917
33,-0.575348,-0.575333,1.52588e-05
34,0.0361938,0.0361633,3.05176e-05
35,-0.328522,-0.328278,0.000244141
36,-0.0466919,-0.046814,0.00012207
37,-0.173264,-0.173294,3.05176e-05
38,0.115143,0.115143,0
39,0.147675,0.14769,1.52588e-05
40,-1.34866,-1.34871,4.57764e-05
41,-0.494339,-0.4944,6.10352e-05
42,0.394653,0.394669,1.52588e-05
43,-0.917358,-0.91745,9.15527e-05
44,-0.152679,-0.152649,3.05176e-05
45,0.257111,0.257111,0
46,0.313843,0.313858,1.52588e-05
47,0.506943,0.506912,3.05176e-05
48,0.0182953,0.0182953,0
49,0.202438,0.202362,7.62939e-05
50,0.820709,0.820694,1.52588e-05
51,-0.159439,-0.159424,1.52588e-05
52,-0.185638,-0.185699,6.10352e-05
53,-0.518875,-0.518707,0.000167847
54,0.275742,0.275696,4.57764e-05
55,0.0563202,0.0563202,0
56,0.10791,0.107834,7.62939e-05
57,0.113647,0.113632,1.52588e-05
58,0.680496,0.680649,0.000152588
59,-0.0691681,-0.0691833,1.52588e-05
60,-0.146454,-0.146469,1.52588e-05
61,-0.000198364,-0.000183105,1.52588e-05
62,-0.161972,-0.161987,1.52588e-05
63,0.451859,0.451843,1.52588e-05
64,55.7063,55.7051,0.00111389
65,-2.82994,-2.82895,0.000991821
66,0.34053,0.340683,0.000152588
67,-0.699936,-0.69989,4.57764e-05
68,0.933533,0.933441,9.15527e-05
69,0.171127,0.171051,7.62939e-05
70,0.0564117,0.056488,7.62939e-05
71,0.157181,0.157181,0
72,2.40672,2.40752,0.000793457
73,0.277802,0.278015,0.000213623
74,0.336792,0.336914,0.00012207
75,-0.467407,-0.467453,4.57764e-05
76,-4.40561,-4.4057,9.15527e-05
77,0.658035,0.658005,3.05176e-05
78,0.435516,0.435501,1.52588e-05
79,-0.339081,-0.339035,4.57764e-05
80,2.57961,2.57896,0.000640869
81,-1.15285,-1.15199,0.000854492
82,0.0588989,0.0588531,4.57764e-05
83,2.0919,2.09218,0.000274658
84,0.449524,0.449585,6.10352e-05
85,-0.593796,-0.593796,0
86,0.417908,0.417877,3.05176e-05
87,0.0901794,0.0901642,1.52588e-05
88,-0.370209,-0.370163,4.57764e-05
89,0.742783,0.742767,1.52588e-05
90,0.436462,0.436371,9.15527e-05
91,0.950485,0.950577,9.15527e-05
92,-1.146,-1.14604,4.57764e-05
93,-0.0408325,-0.0406647,0.000167847
94,-0.0370178,-0.036972,4.57764e-05
95,-0.578186,-0.578171,1.52588e-05
96,1.55074,1.55125,0.000518799
97,0.787399,0.787445,4.57764e-05
