index,expected,actual,diff
0,1906.67,1906.67,0.00012207
1,2156.68,2156.65,0.0324707
2,-3069.49,-3069.35,0.140869
3,1718.78,1718.81,0.0289307
4,-1796.01,-1795.93,0.0799561
5,571.607,571.624,0.0175171
6,2718.47,2718.51,0.0380859
7,-1979.95,-1979.87,0.0831299
8,-219.529,-219.446,0.0830078
9,1899.49,1899.35,0.142456
10,2502.28,2502.05,0.230225
11,-2732.22,-2732,0.221436
12,382.544,382.438,0.105957
13,-1252.3,-1252.28,0.0258789
14,235.456,235.393,0.0629425
15,636.428,636.405,0.0234375
16,539.662,539.634,0.0275879
17,-1017.38,-1017.3,0.0718994
18,-5639.87,-5639.6,0.272949
19,420.758,420.702,0.0563965
20,-1659.59,-1659.53,0.0584717
21,-2434.42,-2434.24,0.182373
22,1327.84,1327.89,0.0518799
23,-1471.57,-1471.52,0.0473633
24,1052.69,1052.67,0.020752
25,-3743.86,-3743.63,0.230713
26,-4081.34,-4081.25,0.0966797
27,2627.24,2627.17,0.0771484
28,-2094.06,-2093.94,0.122803
29,3389.71,3389.59,0.119141
30,-3246.51,-3246.17,0.334473
31,-1844.88,-1844.96,0.0736084
32,1692.93,1692.93,0.00415039
33,-1225.32,-1225.17,0.140625
34,941.718,941.562,0.156006
35,-811.922,-811.83,0.0922852
36,-546.249,-546.228,0.0214844
37,-826.051,-825.951,0.0998535
38,-2558.41,-2558.23,0.183105
39,99.9422,99.9124,0.0298462
40,-1017.29,-1017.24,0.0452881
41,-2310.17,-2310.03,0.141113
42,1196.02,1195.92,0.0992432
43,-6.89415,-6.80293,0.091217
44,4039.15,4038.94,0.205811
45,3584.93,3584.78,0.145264
46,-2561.98,-2561.88,0.0983887
47,-3701.87,-3701.8,0.0732422
48,-2343.63,-2343.58,0.0505371
49,582.197,582.182,0.0148315
50,-564.551,-564.499,0.0524292
51,-1611.53,-1611.44,0.0944824
52,-263.942,-263.956,0.0145569
53,-510.221,-510.143,0.0785217
54,-1390.59,-1390.5,0.0891113
55,-2716.6,-2716.48,0.116455
56,726.059,726.071,0.012207
57,1945.7,1945.62,0.083252
58,-3899.37,-3899.19,0.174805
59,-2232.11,-2232.02,0.0917969
60,-2186.44,-2186.4,0.0415039
61,5513.28,5512.97,0.312988
62,705.113,705.27,0.156982
63,1824.34,1824.23,0.111694
64,332.237,332.236,0.000366211
65,-170.571,-170.541,0.030777
66,877.741,877.739,0.0020752
67,694.844,694.84,0.003479
68,1602.71,1602.68,0.0274658
69,290.356,290.345,0.0112915
70,-5.29614,-5.32938,0.0332336
71,-723.546,-723.526,0.0198364
72,3314.29,3314.16,0.132324
73,-1286.43,-1286.39,0.0457764
74,2673.57,2673.52,0.0527344
75,-3022.38,-3022.14,0.234375
76,-861.569,-861.458,0.111206
77,1784.25,1784.24,0.00561523
78,-1510.43,-1510.33,0.100708
79,-497.271,-497.312,0.0413208
80,-547.171,-547.163,0.00756836
81,-1368.37,-1368.34,0.0290527
82,-3683.67,-3683.47,0.196777
83,-2145.25,-2145.02,0.223633
84,2102.62,2102.55,0.067627
85,100.608,100.649,0.0409546
86,1864.96,1864.97,0.00170898
87,-6979.14,-6978.77,0.373535
88,-372.538,-372.457,0.0809021
89,646.129,646.094,0.0349731
90,5124.24,5124.09,0.15332
91,17.558,17.6051,0.0470581
92,-1366.79,-1366.73,0.0673828
93,-1201.16,-1201.17,0.0114746
94,4651.13,4650.82,0.304688
95,-2778.68,-2778.58,0.10498
96,-5201.41,-5201.29,0.119629
97,-1178.91,-1178.88,0.0283203
98,-2296.57,-2296.51,0.0576172
99,4777.89,4777.58,0.30957
100,-135.923,-135.995,0.0718384
101,420.745,420.672,0.0731201
102,-563.212,-563.189,0.0230103
103,-29.847,-29.9817,0.134659
104,1891.05,1891,0.0556641
105,4087.98,4087.87,0.112305
106,-1637.16,-1637,0.161621
107,2311.09,2311.04,0.0524902
108,-348.186,-348.116,0.069519
109,-2117.17,-2117.14,0.0285645
110,2431.59,2431.53,0.0615234
111,2248.9,2248.93,0.0249023
112,2061.48,2061.5,0.0185547
113,515.328,515.375,0.0479736
114,-1613.37,-1613.09,0.285522
115,318.983,318.991,0.0088501
116,1251.85,1251.81,0.0430908
117,-1315.42,-1315.33,0.0844727
118,2242.91,2242.8,0.106689
119,51.5142,51.739,0.224808
120,-791.739,-791.743,0.00439453
121,-1025.95,-1025.98,0.02771
122,-490.454,-490.436,0.0183411
123,183.785,183.76,0.0246277
124,1790.72,1790.67,0.0593262
125,2303.01,2302.95,0.0690918
126,-760.365,-760.403,0.0387573
127,-552.606,-552.631,0.0252686
128,-3399.49,-3399.49,0
129,-2555.44,-2555.6,0.154297
130,-2557.47,-2557.43,0.0400391
131,-7140.18,-7140.11,0.0634766
132,-2278.76,-2278.78,0.0239258
133,3235.51,3235.44,0.0700684
134,1582.81,1582.81,0.00378418
135,2961.84,2961.71,0.128662
136,1653.66,1653.62,0.0360107
137,1428.42,1428.34,0.0814209
138,-391.852,-391.798,0.0542603
139,245.301,245.237,0.0646515
140,-4249.38,-4249.23,0.156738
141,-4149.79,-4149.53,0.261719
142,3502.01,3501.99,0.0148926
143,-2161.59,-2161.4,0.190186
144,3130.22,3130.06,0.165283
145,1919.9,1919.78,0.120361
146,-532.365,-532.337,0.0279541
147,-3.13806,-3.06744,0.0706177
148,2024.12,2024.03,0.0855713
149,-931.901,-931.841,0.0596924
150,-855.052,-854.989,0.0628052
151,-2132.17,-2131.91,0.254395
152,917.431,917.375,0.055542
153,3530.42,3530.24,0.187012
154,-458.235,-458.249,0.013916
155,-432.286,-432.318,0.0325317
156,-5576,-5575.73,0.269531
157,-567.194,-567.144,0.0507202
158,3939.96,3939.86,0.0969238
159,-846.115,-846.035,0.0796509
160,1265.92,1265.82,0.100342
161,-4705.17,-4704.95,0.220215
162,2698.88,2698.73,0.147461
163,-283.103,-283.201,0.0979004
164,2518.15,2518.02,0.130127
165,-2240.94,-2240.69,0.25
166,-241.572,-241.601,0.0285187
167,-3626.56,-3626.29,0.275391
168,-1360.11,-1360.18,0.0662842
169,4083.86,4083.57,0.293213
170,-1367.89,-1367.89,0.000610352
171,-2182.32,-2182.32,0.00292969
172,699.725,699.709,0.0163574
173,1356.29,1356.31,0.0214844
174,-784.134,-784.119,0.0147095
175,-2935.98,-2935.76,0.212891
176,-2721.83,-2721.88,0.050293
177,-1066.9,-1066.88,0.0244141
178,-1671.16,-1671.19,0.0361328
179,3461.71,3461.36,0.351074
180,-2656.86,-2656.89,0.0300293
181,-1270.94,-1270.83,0.112183
182,-861.704,-861.584,0.119873
183,3610.83,3610.7,0.125488
184,-506.383,-506.429,0.0463257
185,-877.346,-877.478,0.131775
186,285.016,284.962,0.0535583
187,2129.06,2128.88,0.179199
188,-4487.27,-4487.11,0.158691
189,71.8751,71.8814,0.00628662
190,1339.73,1339.72,0.0131836
191,2552.12,2552.07,0.059082
192,1667.56,1667.56,0.00012207
193,-5340.16,-5340.11,0.0473633
194,-1024.28,-1024.2,0.078125
195,-2588.14,-2588.04,0.0949707
196,-4020.08,-4019.96,0.122559
197,3569.29,3569.34,0.0463867
198,3453.88,3453.87,0.00488281
199,-371.465,-371.472,0.00683594
200,-852.978,-852.898,0.079895
201,835.582,835.41,0.172668
202,462.217,462.207,0.0107422
203,-1317.64,-1317.52,0.12439
204,339.749,339.716,0.0331421
205,-1516.02,-1515.8,0.220459
206,1368.88,1368.82,0.0612793
207,-4646.95,-4646.67,0.274414
208,-1500.12,-1500.12,0.00524902
209,-2289.17,-2289.15,0.0205078
210,389.717,389.693,0.0243835
211,-37.0844,-37.1904,0.106049
212,992.266,992.138,0.128357
213,242.817,242.771,0.0466614
214,2404.74,2404.57,0.166504
215,532.138,532.078,0.0601807
216,3219.9,3219.87,0.0273438
217,-73.0126,-73.0093,0.00328064
218,98.3522,98.2963,0.0558472
219,1718.87,1718.79,0.0811768
220,2474.93,2474.76,0.168945
221,3139.16,3139.06,0.105225
222,-1757.8,-1757.65,0.155396
223,875.248,875.176,0.0723877
224,-3917.33,-3917.21,0.120361
225,-1103.38,-1103.51,0.128174
226,-532.091,-532.114,0.0230713
227,837.074,836.867,0.206604
228,2489.05,2488.77,0.278809
229,3508.36,3508.2,0.154053
230,-465.153,-465.113,0.0394287
231,2281.77,2281.54,0.221436
232,-926.081,-925.986,0.0949707
233,1701.77,1701.58,0.192871
234,-477.845,-477.846,0.00125122
235,917.42,917.346,0.0738525
236,-1980.01,-1980.05,0.0426025
237,192.005,192.011,0.00576782
238,2238.34,2238.27,0.0666504
239,1920.38,1920.33,0.0491943
240,-404.098,-403.993,0.104401
241,652.042,652.01,0.0322876
242,-1593.46,-1593.45,0.00915527
243,-2157.34,-2157.27,0.0756836
244,-1444.17,-1444.21,0.032959
245,-4530.39,-4530.14,0.244629
246,-1747.74,-1747.62,0.125366
247,-1891.23,-1891.12,0.11084
248,-1435.55,-1435.51,0.0333252
249,-231.206,-231.333,0.127457
250,4135.17,4134.99,0.174316
251,-2107.88,-2107.85,0.029541
252,3327.2,3326.97,0.232422
253,643.4,643.329,0.0718384
254,1535.65,1535.44,0.203857
255,-1097.85,-1097.85,0.00427246
256,1561.19,1561.19,0.00012207
257,1997.28,1997.27,0.012085
258,320.179,320.137,0.0421143
259,382.741,382.807,0.0655518
260,1603.94,1603.93,0.0012207
261,5422.65,5422.53,0.118652
262,-3043.38,-3043.31,0.0708008
263,-2728.2,-2728.2,0.000976562
264,4519.05,4518.91,0.133789
265,3747.67,3747.6,0.0722656
266,-2163.52,-2163.42,0.0952148
267,1465.14,1465.22,0.074585
268,-4634.57,-4634.2,0.373535
269,2545.33,2545.42,0.0927734
270,-1599.56,-1599.41,0.156128
271,216.396,216.319,0.0771179
272,-2271,-2270.92,0.0783691
273,767.92,767.9,0.0200195
274,1298.92,1298.93,0.0032959
275,-942.012,-941.916,0.0960693
276,-1161.23,-1161.14,0.0830078
277,2704.9,2704.74,0.161621
278,1645.54,1645.32,0.220947
279,-2302.94,-2302.9,0.0439453
280,495.919,495.923,0.00369263
281,2142.06,2142.08,0.0268555
282,729.195,729.133,0.0618896
283,1255.95,1255.96,0.00915527
284,3165.17,3165.02,0.158203
285,1431.49,1431.47,0.0228271
286,-2588.58,-2588.52,0.0566406
287,-2273.73,-2273.68,0.0473633
288,-3526.22,-3526.11,0.110352
289,-214.324,-214.283,0.04039
290,3358.85,3358.64,0.212891
291,3353.62,3353.45,0.17041
292,-1477.96,-1477.94,0.0223389
293,1138.8,1138.79,0.012085
294,-298.741,-298.89,0.148682
295,136.448,136.269,0.179214
296,1857.41,1857.33,0.076416
297,-1245.66,-1245.59,0.0627441
298,568.494,568.468,0.0256348
299,1951.66,1951.64,0.019165
300,-5343.25,-5342.89,0.365234
301,-3092.07,-3091.82,0.241699
302,1575.03,1575,0.0256348
303,-2204.56,-2204.43,0.124023
304,1825.98,1826.04,0.0581055
305,3311.04,3310.95,0.0859375
306,1382.72,1382.58,0.13623
307,-832.286,-832.245,0.0418091
308,3361.43,3361.37,0.0605469
309,-2633.05,-2632.98,0.0739746
310,-2638.12,-2638.1,0.0224609
311,1082.85,1082.89,0.0427246
312,3509.02,3508.95,0.076416
313,6.90004,6.99318,0.0931396
314,-278.899,-278.857,0.0419312
315,-2673.41,-2673.23,0.184082
316,1346.34,1346.45,0.106079
317,2034.55,2034.64,0.0836182
318,-1595.33,-1595.3,0.0238037
319,-1362.71,-1362.58,0.122559
320,-2124.29,-2124.29,0.000244141
321,-902.588,-902.597,0.00958252
322,-927.296,-927.328,0.0319824
323,-251.866,-251.841,0.0247498
324,-1998.04,-1998.04,0.00305176
325,-1150.69,-1150.64,0.0501709
326,-510.6,-510.567,0.0325317
327,-4088.94,-4088.88,0.0666504
328,1701.71,1701.62,0.0898438
329,-772.816,-772.832,0.0162354
330,-2897.99,-2897.92,0.0712891
331,1768.51,1768.37,0.139038
332,-2707.22,-2707.07,0.14624
333,5516.64,5516.34,0.294922
334,-1035.28,-1035.08,0.204102
335,4047.17,4046.88,0.292236
336,1964.81,1964.77,0.0354004
337,174.58,174.593,0.0135345
338,-1803.05,-1802.87,0.188721
339,-2396.82,-2396.66,0.163086
340,-3964.06,-3963.82,0.236328
341,-1435,-1434.81,0.189819
342,3073.45,3073.38,0.0766602
343,-3162.04,-3161.87,0.174805
344,-305.741,-305.788,0.047699
345,-1822.85,-1822.78,0.0733643
346,2582.97,2582.87,0.101807
347,-773.699,-773.695,0.00390625
348,2811.49,2811.32,0.166992
349,-1155.77,-1155.68,0.0814209
350,2117.54,2117.39,0.150635
351,394.903,394.946,0.0431519
352,-220.325,-220.366,0.0410156
353,384.968,384.903,0.0650024
354,-2150.79,-2150.74,0.0454102
355,-1987.99,-1987.94,0.057373
356,-1349.08,-1349.07,0.010376
357,-2186.2,-2186.1,0.0905762
358,-877.337,-877.247,0.0908203
359,721.065,720.978,0.0871582
360,-984.465,-984.538,0.072998
361,-1665.84,-1665.78,0.0546875
362,2102,2101.88,0.121094
363,-525.511,-525.448,0.0631714
364,-814.631,-814.571,0.0593262
365,1321.37,1321.26,0.118408
366,-822.706,-822.713,0.00701904
367,-3260.46,-3260.42,0.0424805
368,1809.99,1809.87,0.111084
369,2786.76,2786.62,0.136963
370,3660.69,3660.59,0.103027
371,-1070.51,-1070.31,0.206299
372,1887.46,1887.49,0.0307617
373,3363.84,3363.67,0.161621
374,-340.884,-341.013,0.129486
375,-825.604,-825.553,0.0510254
376,3402.55,3402.46,0.0891113
377,-322.104,-321.944,0.160095
378,2113.58,2113.38,0.199707
379,948.989,949.121,0.131897
380,-2326.08,-2325.92,0.152588
381,-1070.97,-1070.81,0.157471
382,-2596.2,-2596.09,0.115479
383,-7360.27,-7359.9,0.37207
384,4885.17,4885.17,0
385,-802.913,-802.871,0.0420532
386,-587.752,-587.646,0.105713
387,-1730.83,-1730.74,0.0939941
388,-395.223,-395.109,0.114044
389,1442.95,1443,0.0493164
390,1892.22,1892.24,0.0212402
391,1966.08,1966.12,0.0330811
392,820.102,820.275,0.172363
393,498.259,498.25,0.00863647
394,-2718.41,-2718.19,0.218506
395,948.959,948.775,0.183472
396,770.417,770.439,0.0219116
397,-2606.1,-2605.98,0.114258
398,2945.15,2945.12,0.032959
399,971.639,971.737,0.0986938
400,898.895,898.883,0.012085
401,-5082.62,-5082.43,0.191406
402,-2764.12,-2763.96,0.159424
403,616.978,616.898,0.0801392
404,790.847,790.777,0.0702515
405,-2004.79,-2004.59,0.19873
406,-130.916,-130.824,0.0913086
407,744.876,744.766,0.109741
408,5479.55,5479.46,0.0849609
409,2510.39,2510.32,0.0693359
410,-431.808,-431.754,0.053772
411,-4000.78,-4000.57,0.208252
412,60.0209,60.1465,0.125565
413,-620.946,-620.82,0.126343
414,-414.656,-414.437,0.219543
415,1907.49,1907.58,0.0917969
416,-1000.46,-1000.33,0.127319
417,-3981.52,-3981.38,0.138184
418,1593.69,1593.64,0.0535889
419,-1614.33,-1614.3,0.0269775
420,-166.845,-166.868,0.0229645
421,-3597.42,-3597.19,0.232178
422,2105.5,2105.4,0.103516
423,-1519.22,-1519.06,0.15625
424,-5357.89,-5357.72,0.170898
425,1222.53,1222.41,0.119751
426,-969.574,-969.544,0.0299072
427,871.026,870.809,0.217773
428,-4107.19,-4107.13,0.0639648
429,-104.478,-104.475,0.00224304
430,1105.1,1105.07,0.0250244
431,4219.46,4219.2,0.26416
432,-1374.81,-1374.73,0.0786133
433,-1791.89,-1791.65,0.241699
434,-425.059,-425.058,0.00115967
435,1894.53,1894.47,0.0600586
436,-2061.66,-2061.62,0.0478516
437,1153.51,1153.6,0.0892334
438,-973.896,-973.828,0.0679321
439,-5192,-5191.79,0.207031
440,2323.65,2323.7,0.0515137
441,-3090.04,-3089.82,0.215332
442,-2766.98,-2766.97,0.0131836
443,3576.14,3575.95,0.187744
444,-1477.87,-1477.72,0.153809
445,-1812.73,-1812.5,0.226929
446,-6585.59,-6585.13,0.458496
447,-654.515,-654.581,0.0657959
448,-4129.71,-4129.71,0
449,-830.303,-830.315,0.0115967
450,4855.86,4855.69,0.169922
451,686.912,686.803,0.108215
452,1355.44,1355.32,0.118408
453,-1090.21,-1090.3,0.0881348
454,-667.082,-667.233,0.150452
455,2960.36,2960.22,0.139648
456,119.036,118.983,0.0533295
457,2597.8,2597.67,0.129883
458,-333.741,-333.556,0.185455
459,2029.95,2029.86,0.088623
460,702.949,702.94,0.00872803
461,-654.54,-654.54,0.000244141
462,1009.52,1009.44,0.0800171
463,-2901.47,-2901.32,0.149902
464,-3123.62,-3123.65,0.0300293
465,2971.08,2970.95,0.131104
466,-948.72,-948.673,0.0473022
467,53.7867,53.8503,0.0636139
468,-396.001,-396.05,0.0487671
469,-4112.32,-4112.17,0.154297
470,-2440.4,-2440.12,0.279541
471,-2521.49,-2521.24,0.255127
472,1079.01,1078.88,0.124512
473,-1306.69,-1306.66,0.0395508
474,828.847,828.875,0.0283203
475,49.3862,49.4251,0.0388336
476,-473.563,-473.545,0.0179138
477,35.0486,35.0116,0.0369873
478,737.307,737.243,0.06427
479,-268.474,-268.491,0.0171509
480,-1189.01,-1189.08,0.0633545
481,885.232,885.165,0.0665283
482,5243.69,5243.6,0.0898438
483,1253.89,1253.91,0.0153809
484,763.623,763.594,0.0293579
485,2096.16,2095.97,0.191406
486,2598.25,2597.98,0.275879
487,-1798.34,-1798.24,0.0977783
488,-235.352,-235.386,0.0342407
489,1364.82,1364.77,0.0524902
490,-2198.51,-2198.37,0.140381
491,6724.15,6723.81,0.34082
492,-425.933,-425.922,0.0108948
493,-2320.03,-2319.91,0.118164
494,-1290.23,-1290.15,0.0708008
495,-2907.3,-2907.11,0.196045
496,-2362.49,-2362.39,0.0986328
497,975.782,975.585,0.196777
498,-806.874,-806.71,0.163391
499,2845.02,2844.78,0.238525
500,-1017.2,-1017.19,0.0124512
501,104.358,104.311,0.0467224
502,6318.42,6318.12,0.302734
503,5326.86,5326.69,0.168945
504,678.715,678.616,0.0996094
505,4232.65,4232.47,0.183105
506,-857.961,-857.741,0.219849
507,1715.1,1714.9,0.193848
508,2944.49,2944.41,0.0878906
509,12.5542,12.4955,0.0587158
510,367.547,367.595,0.0478516
511,5156.2,5156.1,0.0942383
512,5318.66,5318.66,0
513,1658.95,1658.96,0.010376
514,-1291.68,-1291.64,0.0419922
515,-4785.72,-4785.55,0.174316
516,-188.986,-188.867,0.11882
517,-3993.02,-3992.84,0.18042
518,-2101.57,-2101.42,0.14209
519,817.238,817.382,0.144409
520,1136.33,1136.38,0.0477295
521,2870.44,2870.3,0.139893
522,689.439,689.332,0.106567
523,-2833.97,-2833.93,0.0380859
524,-690.658,-690.653,0.00408936
525,2295.81,2295.52,0.292725
526,-2201.92,-2201.78,0.139648
527,2586.39,2586.26,0.134521
528,-2760.02,-2759.77,0.249023
529,-2638.75,-2638.69,0.0512695
530,490.086,489.984,0.102173
531,-1039.42,-1039.39,0.0231934
532,162.936,162.891,0.0449371
533,-815.086,-815.022,0.064209
534,1396.25,1396.06,0.197998
535,-509.254,-509.246,0.00735474
536,2515.38,2515.37,0.00927734
537,1170.57,1170.6,0.0264893
538,1557.63,1557.7,0.0725098
539,-286.98,-286.937,0.0428467
540,-3354.47,-3354.25,0.229004
541,-4415.39,-4415.24,0.146973
542,4650.01,4649.8,0.208008
543,-500.998,-500.821,0.176392
544,243.755,243.865,0.109589
545,-2752.5,-2752.33,0.164795
546,-2652.68,-2652.66,0.0148926
547,-1183.7,-1183.73,0.0336914
548,772.626,772.593,0.0323486
549,3032.42,3032.3,0.126709
550,-4187.98,-4187.77,0.206543
551,-3928.21,-3928.07,0.138672
552,-390.156,-390.096,0.0604858
553,228.516,228.518,0.00253296
554,5916.19,5915.89,0.305176
555,-1494.88,-1494.71,0.161865
556,835.52,835.494,0.0261841
557,4105.33,4105,0.32959
558,-762.438,-762.54,0.101135
559,-4931.79,-4931.63,0.155273
560,5277.62,5277.6,0.0195312
561,-306.981,-306.731,0.249573
562,-1672.16,-1672.02,0.139038
563,3785.53,3785.38,0.158203
564,719.46,719.526,0.0657349
565,1949.54,1949.47,0.074707
566,-699.586,-699.472,0.114014
567,1760.56,1760.58,0.0128174
568,2531.03,2531.1,0.0651855
569,-1617.2,-1617.13,0.0755615
570,-3071.84,-3071.85,0.00415039
571,-2132.42,-2132.34,0.079834
572,-2012.28,-2012.12,0.158325
573,1890.71,1890.67,0.0463867
574,-921.143,-921.067,0.0753174
575,409.258,409.34,0.0813904
576,-4143.96,-4143.96,0
577,2004.84,2004.7,0.142212
578,851.385,851.371,0.0144043
579,-1057.52,-1057.6,0.0826416
580,3467.4,3467.23,0.163818
581,3340.53,3340.31,0.220703
582,658.501,658.383,0.118408
583,3520.11,3519.95,0.166748
584,169.327,169.267,0.0601044
585,-1368.35,-1368.23,0.125244
586,-3971.81,-3971.65,0.167725
587,-1126.69,-1126.69,0.00427246
588,-811.161,-811.134,0.0268555
589,4381.81,4381.83,0.015625
590,-2181.71,-2181.52,0.194824
591,1097.39,1097.36,0.0330811
592,3187.67,3187.58,0.0957031
593,786.886,786.827,0.0596924
594,-567.943,-567.992,0.048645
595,951.835,951.815,0.0199585
596,-463.112,-463.006,0.106384
597,-1660.32,-1660.28,0.041748
598,-850.612,-850.583,0.0286865
599,714.327,714.347,0.0193481
600,-648.975,-649.066,0.0911865
601,2210.22,2210.05,0.163818
602,-1323.21,-1323.21,0.00158691
603,-1770.3,-1770.23,0.0760498
604,-5379.26,-5379.03,0.228516
605,5400.96,5400.74,0.225098
606,-573.175,-573.102,0.0732422
607,2593.19,2593.08,0.108887
608,99.9625,99.8708,0.0916138
609,135.431,135.508,0.0770569
610,-283.231,-283.207,0.0241089
611,1865.03,1864.97,0.0633545
612,151.798,151.869,0.0703735
613,-90.4686,-90.3752,0.0934143
614,-463.272,-463.231,0.0415955
615,-3211.05,-3210.83,0.211914
616,-4821.41,-4821.41,0.00341797
617,1012.29,1012.17,0.115967
618,160.578,160.711,0.132767
619,-1614.59,-1614.57,0.0166016
620,-1298.77,-1298.74,0.0235596
621,-737.872,-737.934,0.0616455
622,4455.33,4455.11,0.215332
623,638.396,638.396,0
624,1358.7,1358.55,0.152344
625,-5328.94,-5328.63,0.312988
626,-4220.57,-4220.39,0.176758
627,-877.958,-878.015,0.0574951
628,-1037.2,-1037.08,0.12439
629,-5268.81,-5268.33,0.483887
630,-3091.86,-3091.55,0.311035
631,-585.016,-584.856,0.160461
