Module,Width,LUTs,FFs,DSPs,TimingSlack
booth_multiplier,12,33,100,0,ERROR
booth_multiplier,16,36,133,0,ERROR
booth_multiplier,24,48,197,0,ERROR
booth_multiplier,32,63,262,0,ERROR
booth_multiplier,8,25,68,0,ERROR
dsp_multiplier,12,0,0,1,ERROR
dsp_multiplier,16,0,0,1,ERROR
dsp_multiplier,24,0,17,2,ERROR
dsp_multiplier,32,47,34,4,ERROR
dsp_multiplier,8,70,16,0,ERROR
lut_multiplier,12,0,0,1,ERROR
lut_multiplier,16,0,0,1,ERROR
lut_multiplier,24,0,17,2,ERROR
lut_multiplier,32,47,34,4,ERROR
lut_multiplier,8,70,16,0,ERROR
