index,expected,actual,diff
0,-4990.54,-4990.55,0.000488281
1,-5957.56,-5957.56,0
2,-2056.43,-2056.43,0
3,-2124.45,-2124.45,0
4,6892.22,6892.22,0
5,5148.73,5148.73,0
6,-2645.5,-2645.5,0.000488281
7,5864.94,5864.94,0.000488281
8,4856.4,4856.4,0
9,-4120.49,-4120.49,0.000488281
10,-3422.31,-3422.31,0
11,-2497.83,-2497.83,0.000488281
12,-2227.48,-2227.48,0.000488281
13,-3160.09,-3160.09,0.000244141
14,2600.76,2600.76,0
15,4655.37,4655.37,0.000488281
16,6439.63,6439.63,0
17,7297.34,7297.34,0
18,-531.941,-531.941,6.10352e-05
19,-2149.97,-2149.97,0.000244141
20,10201.8,10201.8,0.000976562
21,7314.17,7314.17,0.000488281
22,-3460.84,-3460.84,0
23,2982.82,2982.82,0.000488281
24,3455.34,3455.34,0.000488281
25,-1577.23,-1577.23,0.000244141
26,2264.61,2264.61,0.000244141
27,2100.85,2100.85,0
28,2046.2,2046.2,0.000366211
29,-8250.61,-8250.61,0
30,5446.14,5446.14,0.000488281
31,1687.25,1687.25,0.000366211
32,1675.68,1675.68,0.000244141
33,-3135.94,-3135.94,0
34,2322.11,2322.11,0.000244141
35,-113.631,-113.631,0.000167847
36,-1584.93,-1584.94,0.00012207
37,-8.91577,-8.91565,0.00012207
38,-7292.79,-7292.79,0
39,-2357.43,-2357.43,0.000244141
40,-6608.81,-6608.81,0.000488281
41,5505.18,5505.18,0.000488281
42,-7157.87,-7157.87,0.000488281
43,-560.761,-560.761,0.000183105
44,2107.09,2107.09,0
45,6497.36,6497.36,0
46,5721.15,5721.15,0
47,10500.7,10500.7,0
48,-8285.67,-8285.67,0
49,-395.899,-395.898,0.000610352
50,1189.65,1189.65,0
51,808.437,808.436,0.000244141
52,-5780.68,-5780.68,0
53,-724.484,-724.484,0.000244141
54,9121.71,9121.7,0.000976562
55,-1465.59,-1465.59,0.000244141
56,2538.15,2538.15,0.000976562
57,-474.013,-474.012,3.05176e-05
58,-6417.95,-6417.95,0.000488281
59,4971.07,4971.07,0.000488281
60,-6121.15,-6121.15,0
61,-3587.87,-3587.87,0.000488281
62,-2259.59,-2259.59,0.000488281
63,867.063,867.063,0.000244141
64,293.738,293.738,0.00012207
65,-5053.97,-5053.97,0
66,-3457.42,-3457.42,0
67,-2043.65,-2043.65,0.000244141
68,706.971,706.971,0.000305176
69,6171.95,6171.95,0
70,372.008,372.008,6.10352e-05
71,8681.27,8681.27,0.000976562
72,-8466.83,-8466.83,0.000976562
73,2252.73,2252.73,0
74,-2284.52,-2284.52,0.000488281
75,-3331.23,-3331.23,0.000244141
76,-1915.8,-1915.8,0.000732422
77,-5099.44,-5099.44,0
78,8657.47,8657.47,0
79,-2239.12,-2239.12,0.000488281
80,-674.529,-674.53,0.00115967
81,-382.746,-382.746,0.000244141
82,2003.15,2003.15,0.000366211
83,10960.8,10960.8,0
