trial,MSE,max_error
1,1.02024e-06,0.00333405
2,4.96811e-06,0.0167236
3,3.37616e-06,0.0129013
4,2.66145e-06,0.0104446
5,4.68057e-06,0.0157318
6,1.17366e-06,0.00398254
7,6.47196e-06,0.0188141
8,8.78812e-06,0.0230865
9,2.46092e-06,0.0104752
10,8.23611e-07,0.00314331
11,1.04108e-06,0.00336647
12,2.09509e-06,0.00839996
13,8.54462e-07,0.00223541
14,4.66724e-06,0.0157776
15,1.48307e-06,0.00508118
16,2.04941e-06,0.0087738
17,1.13368e-06,0.00582123
18,1.33277e-06,0.00409317
19,6.99348e-07,0.00325012
20,6.83999e-07,0.00256348
21,8.61432e-07,0.00282288
22,1.08007e-06,0.0038147
23,2.25878e-06,0.00940704
24,9.58991e-07,0.00387383
25,8.11212e-07,0.00301361
26,6.01106e-06,0.0183411
27,3.31197e-06,0.0122528
28,1.31707e-06,0.0037384
29,1.27249e-06,0.00375366
30,1.19949e-06,0.00335693
31,7.9856e-07,0.00320435
32,5.18727e-06,0.0168304
33,3.44113e-06,0.0131226
34,1.76557e-06,0.00624084
35,1.19328e-06,0.00308228
36,2.93128e-06,0.012413
37,8.83799e-07,0.00385094
38,4.63797e-06,0.0155716
39,6.97279e-07,0.00294495
40,1.19266e-06,0.00382996
41,1.20057e-06,0.0026474
42,6.35299e-06,0.0189209
43,1.07412e-06,0.00318909
44,8.5033e-07,0.00259399
45,2.33694e-06,0.00988007
46,6.77992e-07,0.0021553
47,1.67464e-06,0.0058136
48,1.39138e-06,0.00548935
49,3.62985e-06,0.0129929
50,1.16562e-06,0.00294495
51,5.95972e-06,0.0181427
52,1.97794e-06,0.00744247
53,1.28121e-06,0.00410461
54,7.10446e-06,0.0198975
55,8.62009e-07,0.00279236
56,1.40727e-06,0.0039444
57,7.1657e-07,0.00227356
58,1.92162e-06,0.00762939
59,1.9888e-06,0.00856781
60,1.41423e-06,0.00590134
61,2.60908e-06,0.0114822
62,1.51085e-06,0.00677872
63,1.10235e-06,0.00439072
64,2.59421e-06,0.0103912
65,1.90407e-06,0.00664139
66,9.89784e-07,0.00338173
67,6.30549e-06,0.0185547
68,2.29607e-06,0.00875854
69,2.1318e-06,0.00798798
70,5.18506e-06,0.0167847
71,1.30314e-06,0.00460815
72,1.25201e-06,0.00519943
73,6.21352e-07,0.00176239
74,2.85493e-06,0.0111008
75,1.49557e-06,0.0058403
76,4.12064e-06,0.0145798
77,1.09335e-06,0.00524902
78,2.33504e-06,0.00980377
79,1.11386e-06,0.00392151
80,2.56236e-06,0.00850677
81,1.35211e-06,0.00354004
82,7.69374e-07,0.0030365
83,5.34551e-06,0.0166931
84,2.19043e-06,0.00904846
85,4.97602e-06,0.0158234
86,9.3607e-07,0.00366592
87,9.28861e-07,0.00310516
88,4.24725e-06,0.0147476
89,1.07344e-06,0.0037384
90,8.69589e-07,0.00398254
91,1.01371e-06,0.0038147
92,2.70978e-06,0.0105515
93,1.63776e-06,0.00793457
94,1.53864e-06,0.00637436
95,1.16961e-06,0.00335693
96,1.07429e-06,0.00379944
