Module,Width,LUTs,FFs,DSPs,TimingSlack
booth_multiplier,12,ERROR,ERROR,ERROR,ERROR
booth_multiplier,16,ERROR,ERROR,ERROR,ERROR
booth_multiplier,24,ERROR,ERROR,ERROR,ERROR
booth_multiplier,32,ERROR,ERROR,ERROR,ERROR
booth_multiplier,8,ERROR,ERROR,ERROR,ERROR
dsp_multiplier,12,ERROR,ERROR,ERROR,ERROR
dsp_multiplier,16,ERROR,ERROR,ERROR,ERROR
dsp_multiplier,24,ERROR,ERROR,ERROR,ERROR
dsp_multiplier,32,ERROR,ERROR,ERROR,ERROR
dsp_multiplier,8,ERROR,ERROR,ERROR,ERROR
lut_multiplier,12,ERROR,ERROR,ERROR,ERROR
lut_multiplier,16,ERROR,ERROR,ERROR,ERROR
lut_multiplier,24,ERROR,ERROR,ERROR,ERROR
lut_multiplier,32,ERROR,ERROR,ERROR,ERROR
lut_multiplier,8,ERROR,ERROR,ERROR,ERROR
shift_add_multiplier,12,ERROR,ERROR,ERROR,ERROR
shift_add_multiplier,16,ERROR,ERROR,ERROR,ERROR
shift_add_multiplier,24,ERROR,ERROR,ERROR,ERROR
shift_add_multiplier,32,ERROR,ERROR,ERROR,ERROR
shift_add_multiplier,8,ERROR,ERROR,ERROR,ERROR
