index,expected,actual,diff
0,-12.8956,-12.8956,0
1,8.55222,8.55222,0
2,-1.09361,-1.09361,0
3,13.6103,13.6103,0
4,0.0385132,0.0385132,0
5,4.33752,4.33752,0
6,0.664871,0.664871,0
7,-5.46156,-5.46156,0
8,-47.3745,-47.3745,0
9,14.3088,14.3088,0
10,14.0814,14.0814,0
11,-4.67499,-4.67499,0
12,7.09238,7.09238,0
13,4.35579,4.35579,0
14,9.97435,9.97435,0
15,-10.0537,-10.0537,0
16,19.2005,19.2005,0
17,29.4211,29.4211,0
18,-9.00745,-9.00745,0
19,-2.76216,-2.76216,0
20,-3.57065,-3.57065,0
21,-3.16202,-3.16202,0
22,3.99689,3.99689,0
23,-2.17677,-2.17677,0
24,-14.7424,-14.7424,0
25,9.52789,9.52789,0
26,-0.91333,-0.91333,0
27,-5.26347,-5.26347,0
28,-0.57399,-0.57399,0
29,5.70457,5.70457,0
30,1.9411,1.9411,0
31,-1.15253,-1.15253,0
32,-9.97566,-9.97566,0
33,-7.41136,-7.41136,0
34,9.70525,9.70525,0
35,4.4281,4.4281,0
36,7.11333,7.11333,0
37,-8.97954,-8.97954,0
38,4.22906,4.22906,0
39,9.86389,9.86389,0
40,-4.4575,-4.4575,0
41,1.64938,1.64938,0
42,-8.31221,-8.31221,0
43,-0.752991,-0.752991,0
44,0.464828,0.464828,0
45,9.59045,9.59045,0
46,5.91748,5.91748,0
47,1.40749,1.40749,0
48,-3.25589,-3.25589,0
49,0.378143,0.378143,0
50,-6.59145,-6.59145,0
51,2.05643,2.05643,0
52,4.84189,4.84189,0
53,1.16455,1.16455,0
54,5.52484,5.52484,0
55,9.8998,9.8998,0
56,-9.48479,-9.48479,0
57,1.25673,1.25673,0
58,3.2644,3.2644,0
59,-0.850601,-0.850601,0
60,2.67607,2.67607,0
61,-5.32097,-5.32097,0
62,-4.59631,-4.59631,0
63,2.31273,2.31273,0
64,-30.7193,-30.7193,0
65,43.942,43.942,0
66,-16.1806,-16.1806,0
67,14.3914,14.3914,0
68,8.32829,8.32829,0
69,-0.553284,-0.553284,0
70,-8.10561,-8.10561,0
71,-6.64417,-6.64417,0
72,-50.9289,-50.9289,0
73,-40.1002,-40.1002,0
74,-32.0099,-32.0099,0
75,9.75902,9.75902,0
76,-5.30844,-5.30844,0
77,-9.18971,-9.18971,0
78,3.39555,3.39555,0
79,-9.0215,-9.0215,0
80,0.891769,0.891769,0
81,3.15746,3.15746,0
82,-11.7127,-11.7127,0
83,4.46953,4.46953,0
84,-2.43596,-2.43596,0
85,0.797302,0.797302,0
86,-3.34366,-3.34366,0
87,-1.58656,-1.58656,0
88,-16.7544,-16.7544,0
89,13.4793,13.4793,0
90,-4.99348,-4.99348,0
91,-5.33537,-5.33537,0
92,-8.53502,-8.53502,0
93,-4.77808,-4.77808,0
94,8.48323,8.48323,0
95,-2.77943,-2.77943,0
96,6.63623,6.63623,0
97,0.452927,0.452927,0
98,4.55911,4.55911,0
99,-5.59077,-5.59077,0
100,-8.15714,-8.15714,0
101,6.81013,6.81013,0
102,2.35097,2.35097,0
103,1.80104,1.80104,0
104,-2.15959,-2.15959,0
105,9.03754,9.03754,0
106,-9.65189,-9.65189,0
107,6.64781,6.64781,0
108,-4.79446,-4.79446,0
109,-5.96501,-5.96501,0
110,-3.90427,-3.90427,0
111,-2.9118,-2.9118,0
112,4.63275,4.63275,0
113,-2.83134,-2.83134,0
114,-9.04956,-9.04956,0
115,2.52679,2.52679,0
116,-3.65935,-3.65935,0
117,-2.44913,-2.44913,0
118,-1.07829,-1.07829,0
119,7.43816,7.43816,0
120,3.06424,3.06424,0
121,-5.47276,-5.47276,0
122,-2.99718,-2.99718,0
123,6.70029,6.70029,0
124,-6.84305,-6.84305,0
125,2.66469,2.66469,0
126,-1.44125,-1.44125,0
127,-4.26987,-4.26987,0
128,-2.69438,-2.69438,0
129,20.8255,20.8255,0
130,13.2944,13.2944,0
131,7.38879,7.38879,0
132,-2.1335,-2.1335,0
133,4.80443,4.80443,0
134,-8.89189,-8.89189,0
135,-4.37418,-4.37418,0
136,-20.8454,-20.8454,0
137,15.7464,15.7464,0
138,18.8902,18.8902,0
139,-9.24702,-9.24702,0
140,-2.78644,-2.78644,0
141,-5.42552,-5.42552,0
142,-5.26541,-5.26541,0
143,-9.37045,-9.37045,0
144,4.98593,4.98593,0
145,3.50473,3.50473,0
146,16.4495,16.4495,0
147,6.82283,6.82283,0
148,0.522339,0.522339,0
149,-2.73543,-2.73543,0
150,-4.18681,-4.18681,0
151,-3.43628,-3.43628,0
152,21.3735,21.3735,0
153,-3.09131,-3.09131,0
154,-4.07779,-4.07779,0
155,-2.43498,-2.43498,0
156,-10.2938,-10.2938,0
157,-5.80536,-5.80536,0
158,-6.09966,-6.09966,0
159,-9.71774,-9.71774,0
160,7.08403,7.08403,0
161,-7.30873,-7.30873,0
162,1.54025,1.54025,0
163,-7.83243,-7.83243,0
164,-4.16139,-4.16139,0
165,8.54526,8.54526,0
166,1.44887,1.44887,0
167,-9.08775,-9.08775,0
168,-8.81053,-8.81053,0
169,9.31145,9.31145,0
170,8.07677,8.07677,0
171,3.96916,3.96916,0
172,-6.99084,-6.99084,0
173,0.760132,0.760132,0
174,-7.72948,-7.72948,0
175,-5.31966,-5.31966,0
176,1.03076,1.03076,0
177,-1.9834,-1.9834,0
178,-8.68497,-8.68497,0
179,4.12764,4.12764,0
180,2.02696,2.02696,0
181,7.53514,7.53514,0
182,4.58336,4.58336,0
183,-2.63545,-2.63545,0
184,6.77307,6.77307,0
185,-2.18991,-2.18991,0
186,2.41733,2.41733,0
187,-1.53262,-1.53262,0
188,-8.13191,-8.13191,0
189,0.189301,0.189301,0
190,-3.66762,-3.66762,0
191,3.79694,3.79694,0
192,-3.57944,-3.57944,0
193,-13.8349,-13.8349,0
194,-9.55649,-9.55649,0
195,5.25084,5.25084,0
196,-7.31003,-7.31003,0
197,0.74176,0.74176,0
198,6.77126,6.77126,0
199,7.41925,7.41925,0
200,18.0259,18.0259,0
201,46.6907,46.6907,0
202,-3.41554,-3.41554,0
203,5.42799,5.42799,0
204,-0.984695,-0.984695,0
205,7.45346,7.45346,0
206,-4.92574,-4.92574,0
207,6.37581,6.37581,0
208,-18.0413,-18.0413,0
209,9.79468,9.79468,0
210,12.6036,12.6036,0
211,-6.13217,-6.13217,0
212,4.56412,4.56412,0
213,-7.23767,-7.23767,0
214,1.54939,1.54939,0
215,-3.52187,-3.52187,0
216,11.1898,11.1898,0
217,-1.61748,-1.61748,0
218,3.91119,3.91119,0
219,-7.03603,-7.03603,0
220,-2.44016,-2.44016,0
221,4.84091,4.84091,0
222,7.56885,7.56885,0
223,9.25157,9.25157,0
224,7.83838,7.83838,0
225,2.2921,2.2921,0
226,-7.43019,-7.43019,0
227,-9.29088,-9.29088,0
228,2.49748,2.49748,0
229,3.38756,3.38756,0
230,-4.70061,-4.70061,0
231,4.75996,4.75996,0
232,-7.32924,-7.32924,0
233,-5.89932,-5.89932,0
234,-0.0731049,-0.0731049,0
235,8.37636,8.37636,0
236,-4.28958,-4.28958,0
237,-6.91077,-6.91077,0
238,-3.09521,-3.09521,0
239,-7.42375,-7.42375,0
240,-3.98366,-3.98366,0
241,3.84723,3.84723,0
242,-6.83286,-6.83286,0
243,-9.28874,-9.28874,0
244,2.66035,2.66035,0
245,2.19185,2.19185,0
246,-4.89989,-4.89989,0
247,-1.37581,-1.37581,0
248,5.68172,5.68172,0
249,-9.99516,-9.99516,0
250,-1.12321,-1.12321,0
251,-9.71228,-9.71228,0
252,-1.89749,-1.89749,0
253,-7.1636,-7.1636,0
254,5.14421,5.14421,0
255,-0.510452,-0.510452,0
256,-39.1077,-39.1077,0
257,-47.1202,-47.1202,0
258,-0.479691,-0.479691,0
259,19.2265,19.2265,0
260,4.71883,4.71883,0
261,-0.1577,-0.1577,0
262,-6.12187,-6.12187,0
263,8.77492,8.77492,0
264,26.395,26.395,0
265,-42.2532,-42.2532,0
266,-33.1115,-33.1115,0
267,-7.63742,-7.63742,0
268,-5.70058,-5.70058,0
269,-9.70251,-9.70251,0
270,3.83879,3.83879,0
271,3.26161,3.26161,0
272,40.4152,40.4152,0
273,37.8336,37.8336,0
274,16.5041,16.5041,0
275,5.94923,5.94923,0
276,-7.93404,-7.93404,0
277,9.50478,9.50478,0
278,-4.2048,-4.2048,0
279,2.4073,2.4073,0
280,-21.6851,-21.6851,0
281,10.6673,10.6673,0
282,2.20929,2.20929,0
283,8.92786,8.92786,0
284,-6.09232,-6.09232,0
285,-3.25343,-3.25343,0
286,-1.05791,-1.05791,0
287,0.882095,0.882095,0
288,7.90492,7.90492,0
289,0.734116,0.734116,0
290,7.61177,7.61177,0
291,-5.18825,-5.18825,0
292,-8.80588,-8.80588,0
293,-2.15884,-2.15884,0
294,-3.67932,-3.67932,0
295,6.60762,6.60762,0
296,6.35542,6.35542,0
297,8.48181,8.48181,0
298,7.57501,7.57501,0
299,2.99092,2.99092,0
300,-8.68672,-8.68672,0
301,6.1615,6.1615,0
302,-6.98283,-6.98283,0
303,-10.2325,-10.2325,0
304,2.20554,2.20554,0
305,8.90636,8.90636,0
306,-7.54121,-7.54121,0
307,-3.70576,-3.70576,0
308,-2.78386,-2.78386,0
309,-4.38565,-4.38565,0
310,-9.5258,-9.5258,0
311,1.174,1.174,0
312,-1.80438,-1.80438,0
313,-3.36711,-3.36711,0
314,3.46597,3.46597,0
315,0.477325,0.477325,0
316,9.69832,9.69832,0
