index,expected,actual,diff
0,-8.65138,-0.667908,7.98347
1,0.30513,-2.68271,2.98784
2,-0.0530853,0,0.0530853
3,0.0359192,0,0.0359192
4,-0.0107727,0,0.0107727
5,-0.0167389,0,0.0167389
6,0.0526123,0.739609,0.686996
7,0.00770569,0,0.00770569
8,-0.221008,0.774643,0.995651
9,0.0255737,0,0.0255737
10,-0.047287,0,0.047287
11,0.033905,0,0.033905
12,-0.116272,-4.62283,4.50656
13,-0.00686646,-0.243149,0.236282
14,-0.0216827,0,0.0216827
15,0.00184631,1.2661,1.26425
16,-0.0246277,-1.66693,1.6423
17,0.263641,-5.16202,5.42566
18,0.018631,0,0.018631
19,0.159271,0.551941,0.39267
20,-0.0151978,0.992828,1.00803
21,0.029541,0,0.029541
22,0.017807,0.803513,0.785706
23,-0.057373,0.0266266,0.0839996
24,-0.124069,-0.30191,0.177841
25,-0.0725403,0.627869,0.700409
26,0.0665588,1.23166,1.1651
27,-0.0158539,0.455673,0.471527
28,-0.0618134,0,0.0618134
29,-0.0170441,0.0096283,0.0266724
30,0.0355682,0,0.0355682
31,0.120178,0,0.120178
32,0.128571,-1.92744,2.05602
33,-0.0391235,-0.15419,0.115067
34,-0.0777435,0,0.0777435
35,-0.0983429,-0.664688,0.566345
36,0.0772858,0,0.0772858
37,-0.03508,0,0.03508
38,-0.0401154,0,0.0401154
39,-0.0420532,0,0.0420532
40,-0.0189667,0,0.0189667
41,0.0557709,0,0.0557709
42,0.0174255,-0.0933228,0.110748
43,0.0388794,0,0.0388794
44,-0.0451508,0,0.0451508
45,0.00784302,0.608109,0.600266
46,0.0155945,0,0.0155945
47,0.0114136,0,0.0114136
48,-0.0485992,0,0.0485992
49,-0.0510559,-0.307434,0.256378
50,-0.0643921,0,0.0643921
51,0.0593262,0,0.0593262
52,-0.0201721,-0.282654,0.262482
53,0.0626526,-0.699799,0.762451
54,-0.00802612,-1.25426,1.24623
55,-0.0181732,0,0.0181732
56,0.00314331,0.394333,0.39119
57,-0.0638733,0,0.0638733
58,-0.0221252,0.506302,0.528427
59,0.025589,0.241745,0.216156
60,0.00299072,0.363922,0.360931
61,0.00564575,0.550735,0.54509
62,0.00709534,0,0.00709534
63,0.0158539,0,0.0158539
64,-7.9301,1.23979,9.16989
65,-1.22263,-2.83762,1.61499
66,-0.00791931,-0.126312,0.118393
67,1.52588e-05,0.161301,0.161285
68,0.000946045,0.196762,0.195816
69,0,-0.280518,0.280518
70,-0.0025177,0.227783,0.230301
71,-0.000305176,0.210602,0.210907
72,6.10352e-05,1.23813,1.23807
73,3.05176e-05,-0.180573,0.180603
74,-0.000442505,-0.0367889,0.0363464
75,0,-0.426361,0.426361
76,6.10352e-05,0.533966,0.533905
77,-0.00128174,0.395615,0.396896
78,0,-0.767853,0.767853
79,-0.00192261,-0.166977,0.165054
80,-0.0489349,0.965469,1.0144
81,-1.22263,-2.76268,1.54005
82,-0.000152588,-0.555237,0.555084
83,0.00839233,0.965195,0.956802
84,0,-0.37294,0.37294
85,0.00120544,-0.238266,0.239471
86,0,0.385788,0.385788
87,0,0.223129,0.223129
88,-0.0118713,-2.58371,2.57184
89,0,0.0933838,0.0933838
90,0.00447083,0.574112,0.569641
91,-0.0489349,1.04781,1.09674
92,0,0.334,0.334
93,-0.00791931,-0.534729,0.52681
94,-0.00341797,1.08015,1.08357
95,0.00500488,0.0281525,0.0231476
96,0.00839233,0.847412,0.83902
97,-0.00128174,0.2005,0.201782
98,0.00192261,0.631683,0.629761
99,3.05176e-05,-0.22023,0.220261
100,0.00270081,-0.234055,0.236755
101,-0.0025177,0.681137,0.683655
102,0,-0.428207,0.428207
103,0.0025177,-0.743149,0.745667
104,0,-0.613617,0.613617
105,0,-0.878418,0.878418
106,-0.000152588,0.0875397,0.0876923
107,0,-0.369751,0.369751
108,0.00500488,-0.139816,0.144821
109,0.00120544,-0.748535,0.749741
110,0.00474548,-0.199844,0.20459
111,0.00270081,-0.450928,0.453629
112,-0.00192261,-0.185089,0.183167
113,0,-0.107086,0.107086
114,-0.00341797,-0.482422,0.479004
115,0,0.179169,0.179169
116,0,0.316895,0.316895
117,-0.000442505,0.381546,0.381989
118,0,0.0436554,0.0436554
119,0,-0.102692,0.102692
120,-0.000305176,-0.145432,0.145126
121,0.0025177,-0.193451,0.195969
122,1.52588e-05,-0.427017,0.427032
123,0.000946045,0.0316467,0.0307007
124,0,-0.537186,0.537186
125,0.00192261,0.16832,0.166397
126,0.00474548,-0.0508881,0.0556335
127,-0.0025177,-0.241989,0.239471
128,-16.5428,-0.0983887,16.4444
129,-0.670212,2.18362,2.85384
130,-0.00515747,-0.196152,0.190994
131,-0.0144806,-0.120682,0.106201
132,0.00115967,-0.312408,0.313568
133,-0.00205994,-0.538696,0.536636
134,0.00340271,-0.264023,0.267426
135,0.00216675,-0.83493,0.837097
136,-1.1432,-0.507568,0.635635
137,-0.0287476,-0.0674591,0.0387115
138,0.00949097,-0.338455,0.347946
139,0.00187683,-0.613907,0.615784
140,-1.1432,0.592407,1.73561
141,-0.0144958,0.316284,0.33078
