index,expected,actual,diff
0,58.9964,58.9964,6.10352e-05
1,-0.486374,-0.485107,0.00126648
2,2.43286,2.43257,0.000289917
3,-0.908463,-0.908264,0.000198364
4,1.01488,1.01456,0.000320435
5,-0.0382385,-0.0381927,4.57764e-05
6,-1.65468,-1.65482,0.000137329
7,0.115189,0.115173,1.52588e-05
8,1.13809,1.13907,0.000976562
9,1.65611,1.6571,0.000991821
10,1.00255,1.00243,0.00012207
11,0.673599,0.67363,3.05176e-05
12,2.15494,2.15543,0.000488281
13,2.74998,2.74994,4.57764e-05
14,0.0593872,0.0593872,0
15,0.916855,0.91716,0.000305176
16,-4.99742,-4.99643,0.000991821
17,6.47003,6.47086,0.000823975
18,3.0694,3.06982,0.000427246
19,0.420197,0.420258,6.10352e-05
20,-4.98907,-4.98885,0.000228882
21,0.136658,0.136581,7.62939e-05
22,3.30177,3.30074,0.0010376
23,-0.237869,-0.237869,0
24,1.46564,1.46535,0.000289917
25,-4.94023,-4.93965,0.000579834
26,-3.4492,-3.44908,0.00012207
27,-3.82603,-3.82469,0.00134277
28,0.0214539,0.0214386,1.52588e-05
29,-3.27531,-3.27502,0.000289917
30,-0.780365,-0.780289,7.62939e-05
31,0.534607,0.534943,0.000335693
32,0.0475006,0.0478516,0.000350952
33,1.84682,1.847,0.000183105
34,0.457672,0.45752,0.000152588
35,-0.329346,-0.328232,0.00111389
36,-0.855301,-0.855133,0.000167847
37,0.00921631,0.00918579,3.05176e-05
38,0.124512,0.124451,6.10352e-05
39,0.441833,0.441681,0.000152588
40,-0.406631,-0.406464,0.000167847
41,0.603912,0.60405,0.000137329
42,1.64169,1.64172,3.05176e-05
43,0.178757,0.17865,0.000106812
44,0.506821,0.506775,4.57764e-05
45,0.395447,0.395233,0.000213623
46,-0.19136,-0.191406,4.57764e-05
47,0.0375977,0.0375977,0
48,1.15756,1.15779,0.000228882
49,1.48906,1.4888,0.000259399
50,-0.464569,-0.464355,0.000213623
51,-0.00309753,-0.00311279,1.52588e-05
52,-1.17606,-1.17569,0.000366211
53,-0.19632,-0.196045,0.000274658
54,-0.0783997,-0.0784454,4.57764e-05
55,0.213989,0.213867,0.00012207
56,1.90157,1.901,0.000564575
57,-0.0615692,-0.0615845,1.52588e-05
58,-1.2187,-1.21808,0.00062561
59,0.519547,0.519485,6.10352e-05
60,0.369034,0.368805,0.000228882
61,-0.580948,-0.58107,0.00012207
62,0.453751,0.453522,0.000228882
63,0.769196,0.76918,1.52588e-05
64,62.6842,62.6843,3.05176e-05
65,0.911774,0.913223,0.00144958
66,-0.738297,-0.737701,0.000595093
67,0.947266,0.947449,0.000183105
68,-0.354965,-0.354782,0.000183105
69,0.161346,0.161423,7.62939e-05
70,-1.20378,-1.20389,0.000106812
71,-1.00352,-1.00348,4.57764e-05
72,-1.05074,-1.04968,0.00105286
73,0.430527,0.431442,0.000915527
74,-0.558701,-0.558228,0.000473022
75,0.0132446,0.0132751,3.05176e-05
76,1.7981,1.79887,0.000778198
77,-2.67944,-2.67952,7.62939e-05
78,-0.23497,-0.234863,0.000106812
79,-0.350586,-0.350693,0.000106812
80,-1.52167,-1.52054,0.00112915
81,5.5,5.50079,0.000793457
82,3.05176e-05,9.15527e-05,6.10352e-05
83,-4.51646,-4.51605,0.000411987
