index,expected,actual,diff
0,-0.945251,-0.945206,4.57764e-05
1,-2.23947,-2.2395,3.05176e-05
2,-0.407028,-0.407028,0
3,0.675232,0.675232,0
4,-0.0925446,-0.0924988,4.57764e-05
5,-0.374619,-0.374603,1.52588e-05
6,-0.022049,-0.02211,6.10352e-05
7,-0.0572205,-0.0572815,6.10352e-05
8,2.90485,2.90541,0.000564575
9,0.0597382,0.0597382,0
10,-0.0052948,-0.00523376,6.10352e-05
11,-0.315979,-0.31601,3.05176e-05
12,-1.49733,-1.49745,0.00012207
13,-0.478241,-0.478256,1.52588e-05
14,0.0861053,0.0860596,4.57764e-05
15,-0.400482,-0.400452,3.05176e-05
16,-0.384811,-0.384659,0.000152588
17,-1.7392,-1.73964,0.000442505
18,0.256165,0.256119,4.57764e-05
19,0.477066,0.477066,0
20,0.490356,0.490295,6.10352e-05
21,-0.210205,-0.210205,0
22,0.0579681,0.0579834,1.52588e-05
23,-0.0115509,-0.0115814,3.05176e-05
24,0.759537,0.759628,9.15527e-05
25,0.0746002,0.0746002,0
26,0.747681,0.747421,0.000259399
27,-1.9389,-1.93839,0.000518799
28,0.0569,0.0568848,1.52588e-05
29,-0.274277,-0.274353,7.62939e-05
30,0.183777,0.183792,1.52588e-05
31,0.523499,0.523453,4.57764e-05
32,-1.57661,-1.57707,0.000457764
33,-0.157196,-0.157227,3.05176e-05
34,0.528091,0.528015,7.62939e-05
35,0.187592,0.187546,4.57764e-05
36,0.228745,0.228699,4.57764e-05
37,-0.244186,-0.244202,1.52588e-05
38,-0.383636,-0.383591,4.57764e-05
39,0.251801,0.251816,1.52588e-05
40,-0.278885,-0.278931,4.57764e-05
41,-0.327911,-0.327881,3.05176e-05
42,-0.0632019,-0.0631866,1.52588e-05
43,-0.5177,-0.5177,0
44,0.710449,0.710526,7.62939e-05
45,0.262711,0.262695,1.52588e-05
46,-0.229706,-0.229721,1.52588e-05
47,0.0128174,0.0127716,4.57764e-05
48,-0.278091,-0.278137,4.57764e-05
49,0.265213,0.265244,3.05176e-05
50,0.428223,0.428223,0
51,-0.786301,-0.786255,4.57764e-05
52,-0.175919,-0.17598,6.10352e-05
53,-0.989227,-0.989258,3.05176e-05
54,0.433929,0.433868,6.10352e-05
55,-0.336304,-0.336319,1.52588e-05
56,-0.654999,-0.654999,0
57,-0.0444183,-0.0443573,6.10352e-05
58,-0.366714,-0.366684,3.05176e-05
59,-0.0290375,-0.0290375,0
60,0.389984,0.389954,3.05176e-05
61,-0.625107,-0.625107,0
62,-0.344193,-0.344254,6.10352e-05
63,-0.461304,-0.461304,0
64,1.0733,1.07294,0.000366211
65,-1.7578,-1.75803,0.000228882
66,-0.0923309,-0.0923309,0
67,-0.740128,-0.740128,0
68,-0.452408,-0.452469,6.10352e-05
69,-0.0916901,-0.0916443,4.57764e-05
70,0.223831,0.223877,4.57764e-05
71,0.104675,0.104599,7.62939e-05
72,0.163025,0.162994,3.05176e-05
73,0.480057,0.480103,4.57764e-05
74,0.845764,0.845795,3.05176e-05
75,-0.194855,-0.194824,3.05176e-05
76,-3.45529,-3.45563,0.000335693
77,0.560715,0.560669,4.57764e-05
78,0.819443,0.819443,0
79,0.315048,0.315125,7.62939e-05
80,0.0259094,0.0258179,9.15527e-05
81,2.53903,2.53889,0.000137329
82,-0.257828,-0.257767,6.10352e-05
83,1.6021,1.60219,9.15527e-05
84,0.862244,0.862198,4.57764e-05
85,0.452087,0.451996,9.15527e-05
86,0.0868683,0.0868378,3.05176e-05
87,0.258423,0.258438,1.52588e-05
88,1.30916,1.30942,0.000259399
89,-0.213257,-0.213318,6.10352e-05
90,-0.337402,-0.337341,6.10352e-05
91,0.898254,0.89798,0.000274658
92,-0.047348,-0.0473328,1.52588e-05
93,-0.801025,-0.801041,1.52588e-05
94,0.245056,0.245087,3.05176e-05
95,-0.238327,-0.238297,3.05176e-05
96,-2.44423,-2.44452,0.000289917
97,-0.405731,-0.405762,3.05176e-05
98,0.249115,0.24913,1.52588e-05
99,-0.229752,-0.229767,1.52588e-05
100,-0.247742,-0.247696,4.57764e-05
101,0.452164,0.452103,6.10352e-05
102,-0.4664,-0.4664,0
103,-0.493042,-0.493057,1.52588e-05
104,-0.287613,-0.28772,0.000106812
105,-0.118729,-0.118759,3.05176e-05
106,-0.223755,-0.223831,7.62939e-05
107,-1.12926,-1.12921,4.57764e-05
108,-0.590103,-0.590134,3.05176e-05
109,0.422272,0.422195,7.62939e-05
110,0.348007,0.347992,1.52588e-05
111,0.801132,0.801147,1.52588e-05
112,0.284134,0.284073,6.10352e-05
113,-0.0563812,-0.0563965,1.52588e-05
114,-0.371857,-0.371811,4.57764e-05
115,-0.327194,-0.32724,4.57764e-05
116,0.154404,0.154373,3.05176e-05
117,0.244095,0.244141,4.57764e-05
118,-0.362885,-0.362854,3.05176e-05
119,-0.298279,-0.298325,4.57764e-05
120,0.0213623,0.021286,7.62939e-05
121,-0.00334167,-0.00337219,3.05176e-05
122,0.126251,0.126282,3.05176e-05
123,-1.00949,-1.00952,3.05176e-05
124,0.516968,0.516907,6.10352e-05
125,-0.140976,-0.141083,0.000106812
126,-0.0320282,-0.0320587,3.05176e-05
127,-0.477325,-0.477295,3.05176e-05
128,7.39879,7.39903,0.000244141
129,2.48053,2.48064,0.000106812
130,-1.23848,-1.23848,0
131,-0.0548401,-0.0548706,3.05176e-05
132,-0.75293,-0.75296,3.05176e-05
133,-1.06276,-1.06271,4.57764e-05
134,0.973221,0.973206,1.52588e-05
135,0.0433197,0.0433197,0
136,1.39928,1.3997,0.000427246
137,0.469315,0.469376,6.10352e-05
138,0.27919,0.279251,6.10352e-05
139,0.0284119,0.0283966,1.52588e-05
140,-1.1745,-1.17477,0.000274658
141,0.2379,0.237839,6.10352e-05
142,-0.519943,-0.519928,1.52588e-05
143,0.0769501,0.0769196,3.05176e-05
144,0.0983429,0.0984802,0.000137329
145,-0.0936127,-0.0935364,7.62939e-05
146,-0.177368,-0.177368,0
147,1.41409,1.41426,0.000167847
148,-0.977829,-0.977768,6.10352e-05
149,-0.122253,-0.122314,6.10352e-05
150,-0.256607,-0.256592,1.52588e-05
151,0.736328,0.736374,4.57764e-05
152,2.66991,2.66959,0.000320435
153,-0.915817,-0.915756,6.10352e-05
154,-0.100174,-0.100159,1.52588e-05
155,-0.13588,-0.135757,0.00012207
156,-0.532135,-0.532135,0
157,1.17091,1.17096,4.57764e-05
158,-0.720016,-0.719955,6.10352e-05
159,-0.0472717,-0.0473328,6.10352e-05
160,1.49347,1.4938,0.000335693
161,-0.162247,-0.162262,1.52588e-05
162,0.365509,0.365509,0
163,-0.369537,-0.369461,7.62939e-05
164,0.304184,0.304169,1.52588e-05
165,0.432693,0.432678,1.52588e-05
