index,expected,actual,diff
0,-11.5735,-1.74225,9.83121
1,47.5947,-8.05502,55.6497
2,22.4884,7.20718,15.2812
3,-14.3384,-5.73135,8.60709
4,-6.1373,5.03661,11.1739
5,6.92195,-8.23848,15.1604
6,-1.51689,-8.28963,6.77274
7,1.08434,1.43092,0.346588
8,46.3771,0.896622,45.4805
9,-43.3114,8.16093,51.4724
10,34.7357,3.22321,31.5125
11,-12.8358,2.98959,15.8254
12,3.96846,-1.79855,5.76701
13,-5.22261,-9.27354,4.05093
14,10.0867,-5.65198,15.7386
15,7.94193,-4.35956,12.3015
16,-6.65714,-6.10828,0.548859
17,30.4616,-10.201,40.6626
18,8.80925,7.32812,1.48112
19,5.93793,-4.69882,10.6367
20,-0.216766,6.82605,7.04282
21,-6.86647,2.07761,8.94408
22,9.28098,-5.9884,15.2694
23,1.00752,-8.11003,9.11755
24,-8.02069,-6.91077,1.10992
25,-5.80907,-2.58844,3.22063
26,-7.16791,7.93065,15.0986
27,1.21494,2.50058,1.28564
28,-1.54135,-5.46127,3.91992
29,0.537903,-9.03339,9.57129
30,-3.32899,9.83009,13.1591
31,4.70909,-8.79968,13.5088
32,-1.36018,-8.00974,6.64955
33,9.28157,-1.48703,10.7686
34,-5.23987,0.727142,5.96701
35,-6.52551,-4.99356,1.53195
36,0.756027,0.156799,0.599228
37,2.02126,0.787552,1.2337
38,-5.09502,1.97449,7.0695
39,-1.88673,18.7127,20.5994
40,-6.61491,8.83234,15.4473
41,3.83919,-5.38269,9.22188
42,6.03055,-5.25519,11.2857
43,9.01338,-10.3206,19.3339
44,-9.61597,3.23396,12.8499
45,5.77997,11.0456,5.26567
46,-8.81407,17.5769,26.391
47,9.74689,32.6756,22.9287
48,-8.66505,10.3151,18.9801
49,-4.90085,1.49776,6.39861
50,6.49533,0.99437,5.50096
51,-7.24132,-7.11046,0.130859
52,-6.63103,-1.40115,5.22987
53,-7.42822,24.2494,31.6777
54,-2.98106,-36.0329,33.0518
55,-3.66541,35.7724,39.4378
56,-2.86278,-4.03586,1.17308
57,9.98755,-0.743073,10.7306
58,2.87859,-4.64313,7.52171
59,-1.56183,-10.0865,8.52467
60,9.10239,-2.68414,11.7865
61,-1.39572,28.4628,29.8586
62,-1.43791,-40.3964,38.9585
63,4.31828,-34.6948,39.0131
64,-16.6176,-7.19334,9.42427
65,-21.7968,4.7276,26.5244
66,-38.3135,-2.69472,35.6187
67,2.12762,0.510559,1.61707
68,3.9832,-0.868744,4.85194
69,9.85361,4.40797,5.44563
70,8.29085,-0.860184,9.15103
71,-8.22679,1.78018,10.007
72,20.9583,6.62964,14.3287
73,-20.0658,-0.699234,19.3666
74,10.1941,7.3929,2.80122
75,-10.5806,-9.67743,0.903152
76,1.7718,-1.34843,3.12024
77,-8.91556,2.14365,11.0592
78,9.13684,-7.81659,16.9534
79,3.79306,0.749924,3.04314
80,0.300339,3.45451,3.15417
81,-25.7594,1.97549,27.7349
82,-15.3864,5.69847,21.0849
83,2.81395,-4.56073,7.37468
84,-3.93083,9.83865,13.7695
85,5.82991,-5.6131,11.443
86,-1.53181,-9.83768,8.30586
87,-4.70947,5.36957,10.079
88,-1.08734,4.47165,5.55899
89,6.09709,-0.961273,7.05836
90,-7.44672,-3.05444,4.39227
91,8.82776,-0.292694,9.12045
92,-9.30325,-7.30518,1.99808
93,-7.12738,-6.06912,1.05826
94,-4.30687,6.35486,10.6617
95,-8.23218,-0.959808,7.27237
96,-5.13036,-8.04298,2.91263
97,-8.7684,3.05402,11.8224
98,8.66574,-1.61684,10.2826
99,9.98468,-3.18126,13.1659
100,-7.77808,3.40593,11.184
101,8.43434,5.23438,3.19997
102,-0.714676,-2.88992,2.17525
103,0.56134,19.0436,18.4822
104,-7.11569,9.67012,16.7858
105,3.24886,-5.35901,8.60786
106,-2.00137,-0.884628,1.11674
107,1.32414,9.09319,7.76904
108,7.72215,-6.07285,13.795
109,3.73164,12.3114,8.57979
110,-6.19695,-0.414169,5.78278
111,5.70164,-9.48874,15.1904
112,-5.49768,-1.93661,3.56107
113,-8.99593,0.0987854,9.09471
114,5.98746,10.1796,4.19218
115,-9.16478,-4.93422,4.23056
116,2.82819,-14.9234,17.7516
117,-2.75058,30.7852,33.5358
118,7.1819,32.7271,25.5452
119,0.661301,51.5614,50.9001
120,7.52356,0.568756,6.9548
121,-4.56641,-4.09074,0.475662
122,-1.6145,3.10899,4.7235
123,-0.574539,-9.2709,8.69637
124,-4.21335,3.19275,7.4061
125,0.830597,8.29826,7.46767
126,7.74988,-20.8555,28.6053
127,4.2789,4.25285,0.0260468
128,43.1259,9.43314,33.6927
129,-30.428,10.2601,40.6882
130,17.2694,1.17,16.0994
131,11.441,2.00899,9.43199
132,4.55981,2.69582,1.864
133,1.14955,-3.43726,4.58681
134,-7.93094,-8.87646,0.945526
135,10.1623,-1.29753,11.4598
136,-34.0197,0.0807648,34.1005
137,-40.4981,4.48238,44.9804
138,-36.036,-4.4955,31.5405
139,8.29645,6.33806,1.95839
140,6.74852,0.582291,6.16623
141,-4.74168,6.92111,11.6628
142,-4.70691,-3.90971,0.797195
143,2.68732,-4.25166,6.93898
144,19.1442,-7.42328,26.5675
145,3.78625,10.109,6.32272
146,9.65819,-1.51424,11.1724
147,4.99152,-7.92952,12.921
148,-6.48326,-5.25781,1.22545
149,-1.54041,-1.60081,0.0604095
150,-2.35381,4.62756,6.98137
151,5.58943,8.62079,3.03136
152,-9.92935,1.57874,11.5081
153,-10.9635,3.2417,14.2052
154,-1.30939,10.0568,11.3662
155,7.09221,5.01273,2.07948
156,0.82019,-0.948349,1.76854
157,9.80637,-8.77742,18.5838
158,6.85916,2.59647,4.2627
159,6.75125,-4.16553,10.9168
160,2.93227,5.9631,3.03084
161,6.79051,-7.06833,13.8588
162,5.02133,-9.86913,14.8905
163,-9.67436,1.97646,11.6508
164,-4.95824,5.75377,10.712
165,-7.27492,3.73192,11.0068
166,7.92351,2.37581,5.5477
167,-2.38049,-21.303,18.9225
168,2.36926,8.51627,6.147
169,-8.10356,8.06221,16.1658
170,-1.17209,-3.43539,2.26331
171,1.42029,-4.88467,6.30496
172,-7.40025,2.53519,9.93544
173,-1.72305,-17.3964,15.6734
174,1.82674,-29.0632,30.89
175,-1.51933,-14.4185,12.8992
176,0.392487,3.36874,2.97626
177,-4.80917,-6.77501,1.96584
178,1.80588,-1.63336,3.43924
179,0.409271,-6.93501,7.34428
180,-9.41306,-6.18979,3.22327
181,6.22636,1.7274,4.49896
182,-7.73502,15.7307,23.4657
183,-5.80423,-40.3124,34.5082
184,4.84175,9.09207,4.25032
185,7.07607,7.84842,0.772354
186,-3.58875,-5.4037,1.81496
187,-6.78212,-4.11685,2.66527
188,-5.16673,-16.8326,11.6658
189,-5.5058,-33.41,27.9042
190,-3.18242,56.8055,59.9879
191,5.32649,-19.8391,25.1656
192,-43.2786,7.41438,50.6929
193,-15.4371,-5.03119,10.4059
194,4.48335,0.0395966,4.44376
195,8.42961,-2.4696,10.8992
196,8.74652,-5.08003,13.8266
197,-9.886,-4.18825,5.69775
198,10.0359,7.28754,2.74832
199,-5.18047,8.01093,13.1914
200,-2.45866,10.2933,12.7519
201,8.23845,-1.10783,9.34628
202,-33.4777,5.15367,38.6314
203,-13.7614,2.24167,16.0031
204,5.29875,-6.4381,11.7368
205,-4.72417,6.30165,11.0258
206,-1.29807,4.14677,5.44484
207,-3.08952,9.58304,12.6726
208,30.7793,1.66019,29.1191
209,36.9334,3.96899,32.9644
210,-4.38858,5.76845,10.157
211,6.0049,0.589325,5.41557
212,-0.44278,0.232071,0.67485
213,-7.52928,-9.79753,2.26825
214,-8.0607,6.37659,14.4373
215,-9.67758,-1.93027,7.74731
216,-1.19122,1.42604,2.61726
217,13.7574,3.63568,10.1218
218,0.743622,-4.25792,5.00154
219,-3.47916,-4.81819,1.33904
220,2.27917,-2.41869,4.69786
221,1.10927,-8.86638,9.97565
222,6.98662,-9.31836,16.305
