index,expected,actual,diff
0,0.309677,1.5713,1.26163
1,-0.0292969,-1.32831,1.29901
2,0.0349121,0,0.0349121
3,-0.0782928,0,0.0782928
4,-0.00431824,0,0.00431824
5,-0.107544,0,0.107544
6,0.877502,-0.75264,1.63014
7,0.698227,0,0.698227
8,0.243668,0.92424,0.680573
9,0.23764,0,0.23764
10,0.0808411,0,0.0808411
11,-0.101135,0,0.101135
12,-0.183502,6.18942,6.37292
13,-0.853973,-0.844376,0.00959778
14,-0.120056,0,0.120056
15,-0.00538635,0.324707,0.330093
16,0.0440674,6.22581,6.18175
17,-0.376709,0.291946,0.668655
18,0.421646,0,0.421646
19,2.17812,5.38878,3.21066
20,0.366135,1.27078,0.904648
21,-0.0307922,0,0.0307922
22,-0.144882,1.0786,1.22348
23,-0.217194,1.42625,1.64345
24,1.10706,-2.02695,3.134
25,0.308075,-5.12396,5.43204
26,4.27267,-0.248474,4.52115
27,0.393509,-5.00728,5.40079
28,-0.0142059,0,0.0142059
29,-0.0197296,-1.03429,1.01456
30,-0.242371,0,0.242371
31,-0.0482635,0,0.0482635
32,1.65964,-3.59082,5.25046
33,-0.478149,0.389252,0.867401
34,0.0260925,0,0.0260925
35,0.341858,0.496521,0.154663
36,-0.0691833,0,0.0691833
37,0.106766,0,0.106766
38,0.0151672,0,0.0151672
39,0.0166473,0,0.0166473
40,-0.00273132,0,0.00273132
41,0.00547791,0,0.00547791
42,0.879807,0.0749359,0.804871
43,-0.0440979,0,0.0440979
44,-0.0346527,0,0.0346527
45,-0.023056,0.968506,0.991562
46,-0.0564728,0,0.0564728
47,0.022171,0,0.022171
48,0.0140991,0,0.0140991
49,0.0475006,1.71327,1.66577
50,-0.164093,0,0.164093
51,0.0147552,0,0.0147552
52,0.0406189,-0.46196,0.502579
53,0.00683594,0.924393,0.917557
54,-0.0254822,0.245041,0.270523
55,0.0622253,0,0.0622253
56,0.514389,0.822144,0.307755
57,0.615662,0,0.615662
58,0.0899048,-1.90454,1.99445
59,0.0091095,-0.606064,0.615173
60,0.0319061,-0.547867,0.579773
61,-0.0539093,-0.504211,0.450302
62,-0.0135803,0,0.0135803
63,-0.0435944,0,0.0435944
64,-3.39746,-3.73442,0.33696
65,-8.07704,1.869,9.94604
66,-0.0661163,0.378769,0.444885
67,0.00134277,0.527832,0.526489
68,-0.00326538,-1.08798,1.08472
69,0.000900269,0.571091,0.57019
70,0.000808716,-3.29912,3.29993
71,3.05176e-05,-1.53096,1.53099
72,0.0163879,-6.68631,6.7027
73,0.00526428,-0.0186615,0.0239258
74,-0.0111847,-1.09694,1.08575
75,0.00238037,0.82724,0.82486
76,0.0117035,-4.04179,4.0535
77,-0.00808716,0.709732,0.717819
78,0.00132751,0.48613,0.484802
79,0.00384521,0.0127869,0.00894165
80,-0.585342,0.062973,0.648315
81,-7.40395,-8.77917,1.37523
82,-0.00227356,-0.235321,0.233047
83,-0.0022583,-5.2764,5.27414
84,0.012085,0.960068,0.947983
85,-0.00282288,0.763092,0.765915
86,0.00393677,0.414062,0.410126
87,0.00180054,0.91188,0.91008
88,0.00782776,7.95163,7.9438
89,0.0108185,-1.97449,1.98531
90,0.0226746,0.937225,0.914551
91,-0.668961,-2.82475,2.15579
92,0.000656128,-0.307831,0.308487
93,-0.110184,0.651443,0.761627
94,0.00662231,-0.500412,0.507034
95,-0.0070343,-0.344894,0.33786
96,-0.00209045,5.16327,5.16536
97,-0.00740051,0.305176,0.312576
98,0.000427246,-1.10373,1.10416
99,0.00700378,1.56557,1.55856
100,0.000564575,0.0849304,0.0843658
101,-0.000701904,0.161804,0.162506
102,0.000656128,0.124985,0.124329
103,0.0015564,-0.140839,0.142395
104,0.00408936,-0.105881,0.10997
105,0.00128174,-2.15088,2.15216
106,-0.00268555,0.136917,0.139603
107,0.000656128,-0.385895,0.386551
108,-0.00752258,-0.429657,0.422134
109,-0.00259399,-0.592133,0.589539
110,0.00364685,0.100357,0.0967102
111,0.000396729,0.314072,0.313675
112,0.00370789,0.0779419,0.074234
113,0.00440979,-0.190994,0.195404
114,0.00491333,-0.145447,0.15036
115,0.000289917,0.0248718,0.0245819
116,0.00112915,-0.310669,0.311798
117,-0.00947571,-2.13368,2.12421
118,0.000411987,0.143982,0.14357
119,0.000274658,-0.503952,0.504227
120,3.05176e-05,-0.599731,0.599762
121,0.00404358,-0.448837,0.452881
122,0.00138855,-0.0130157,0.0144043
123,-0.00306702,0.499695,0.502762
124,0.000534058,0.403778,0.403244
125,0.000259399,-0.731689,0.731949
126,0.00357056,-0.497498,0.501068
127,-0.00141907,0.907104,0.908524
128,9.03375,0.849152,8.1846
129,3.5117,-7.48407,10.9958
130,0.0616913,0.169708,0.108017
131,0.0916138,-0.675339,0.766953
132,-0.00492859,-0.197021,0.192093
133,0.00918579,0.226074,0.216888
134,-0.0441742,-1.85631,1.81213
135,-0.0189209,1.62344,1.64236
136,8.69238,-0.0482635,8.74065
137,0.374786,-1.15457,1.52936
138,-0.0232239,0.594116,0.61734
139,-0.00808716,-1.48541,1.47733
140,6.20885,0.810867,5.39798
141,0.215775,-0.827408,1.04318
142,0.0155792,-0.730515,0.746094
143,-0.0431976,1.33168,1.37488
144,-0.353256,0.44838,0.801636
145,3.21906,-2.46666,5.68571
146,0.0196686,-1.11131,1.13098
147,-0.561508,-0.889328,0.32782
148,0.0980377,-3.16464,3.26268
149,0.00819397,-0.829498,0.837692
