index,expected,actual,diff
0,19.6242,19.6241,6.10352e-05
1,30.1687,30.1687,4.57764e-05
2,101.733,101.733,7.62939e-05
3,86.2498,86.2497,7.62939e-05
4,-114.37,-114.37,7.62939e-05
5,-9.59621,-9.59627,6.10352e-05
6,75.4291,75.429,4.57764e-05
7,55.3453,55.3452,7.62939e-05
8,-75.841,-75.841,6.10352e-05
9,47.1301,47.1301,4.57764e-05
10,-0.396988,-0.396912,7.62939e-05
11,-93.9047,-93.9047,6.10352e-05
12,-114.335,-114.335,7.62939e-05
13,-26.2886,-26.2885,6.10352e-05
14,43.2122,43.2123,4.57764e-05
15,-16.9969,-16.9968,6.10352e-05
16,40.6975,40.6974,4.57764e-05
17,86.2865,86.2865,7.62939e-05
18,-10.1568,-10.1568,6.10352e-05
19,-127.71,-127.71,3.05176e-05
20,33.3806,33.3806,6.10352e-05
21,24.9386,24.9385,7.62939e-05
22,-52.6566,-52.6567,7.62939e-05
23,77.0792,77.0791,6.10352e-05
24,-65.1517,-65.1516,6.10352e-05
25,24.6423,24.6423,6.10352e-05
26,-78.0545,-78.0544,7.62939e-05
27,66.5126,66.5126,4.57764e-05
28,71.4196,71.4197,6.10352e-05
29,32.7337,32.7337,6.10352e-05
30,-21.2944,-21.2943,4.57764e-05
31,84.6738,84.6738,4.57764e-05
32,-95.8711,-95.8711,6.10352e-05
33,81.7383,81.7383,3.05176e-05
34,-115.569,-115.569,6.10352e-05
35,-41.7637,-41.7637,4.57764e-05
36,-40.8733,-40.8734,6.10352e-05
37,-116.185,-116.185,6.10352e-05
38,-163.05,-163.05,7.62939e-05
39,18.2014,18.2013,6.10352e-05
40,-61.1516,-61.1515,6.10352e-05
41,-92.8545,-92.8544,4.57764e-05
42,-61.2378,-61.2378,4.57764e-05
43,43.7064,43.7065,6.10352e-05
44,39.8531,39.8532,4.57764e-05
45,8.95566,8.95572,6.10352e-05
46,-43.5301,-43.53,6.10352e-05
47,86.3116,86.3116,6.10352e-05
48,-109.805,-109.805,6.10352e-05
49,-75.4425,-75.4426,6.10352e-05
50,3.34019,3.34013,6.10352e-05
51,-30.9192,-30.9192,6.10352e-05
52,5.79027,5.79018,9.15527e-05
53,47.0438,47.0437,4.57764e-05
54,43.4049,43.4048,9.15527e-05
55,-15.106,-15.1061,6.10352e-05
56,-60.3,-60.3,4.57764e-05
57,26.4737,26.4737,4.57764e-05
58,-121.272,-121.272,4.57764e-05
59,-60.8815,-60.8814,6.10352e-05
60,162.35,162.35,9.15527e-05
61,-81.2277,-81.2276,7.62939e-05
62,52.6181,52.6181,9.15527e-05
63,-5.60324,-5.60318,6.10352e-05
64,-16.7493,-16.7494,7.62939e-05
65,-91.5079,-91.5079,6.10352e-05
66,19.0434,19.0434,6.10352e-05
67,80.8227,80.8226,6.10352e-05
68,-136.994,-136.994,6.10352e-05
69,-54.7789,-54.779,4.57764e-05
70,-132.358,-132.358,7.62939e-05
71,88.5507,88.5506,6.10352e-05
72,101.643,101.643,7.62939e-05
73,11.0461,11.0461,4.57764e-05
74,-46.792,-46.7919,4.57764e-05
75,-161.109,-161.109,6.10352e-05
76,-54.6223,-54.6223,4.57764e-05
77,-20.1044,-20.1044,7.62939e-05
78,-24.7289,-24.7288,6.10352e-05
79,-6.3591,-6.35902,7.62939e-05
80,121.69,121.69,6.10352e-05
81,47.877,47.8769,7.62939e-05
82,-92.4118,-92.4119,6.10352e-05
83,13.5921,13.592,6.10352e-05
84,-60.1734,-60.1734,4.57764e-05
85,-173.496,-173.497,6.10352e-05
86,50.1233,50.1233,6.10352e-05
87,36.292,36.2919,4.57764e-05
88,-110.937,-110.937,6.10352e-05
89,115.765,115.765,4.57764e-05
90,81.6707,81.6707,6.10352e-05
91,-2.20062,-2.20056,6.10352e-05
92,-131.355,-131.355,6.10352e-05
93,65.0669,65.067,6.10352e-05
94,159.634,159.634,4.57764e-05
95,54.9951,54.9951,4.57764e-05
96,-58.4976,-58.4977,4.57764e-05
97,-2.73035,-2.73039,4.57764e-05
98,33.6898,33.6898,6.10352e-05
99,-13.0711,-13.0711,6.10352e-05
100,-39.2484,-39.2484,4.57764e-05
101,-28.4396,-28.4397,6.10352e-05
102,-8.81418,-8.81425,7.62939e-05
103,-126.829,-126.829,4.57764e-05
104,-53.4309,-53.4309,7.62939e-05
105,69.9438,69.9438,4.57764e-05
106,21.0435,21.0435,7.62939e-05
107,-82.2572,-82.2572,4.57764e-05
108,151.05,151.05,4.57764e-05
109,-38.7215,-38.7215,6.10352e-05
110,-53.5275,-53.5275,6.10352e-05
111,-21.3492,-21.3491,4.57764e-05
112,54.0389,54.0388,6.10352e-05
113,11.8795,11.8794,6.10352e-05
114,94.1208,94.1208,4.57764e-05
115,-30.9901,-30.9901,6.10352e-05
116,75.5253,75.5252,9.15527e-05
117,70.8419,70.8419,6.10352e-05
118,0.917007,0.916962,4.57764e-05
119,-73.261,-73.261,4.57764e-05
120,-45.5007,-45.5007,7.62939e-05
121,-95.197,-95.197,4.57764e-05
122,-18.7986,-18.7985,7.62939e-05
123,-63.2699,-63.2698,4.57764e-05
124,74.442,74.4421,4.57764e-05
125,-25.5608,-25.5608,4.57764e-05
126,-31.9084,-31.9083,6.10352e-05
127,12.376,12.3761,9.15527e-05
128,55.2477,55.2477,7.62939e-05
129,17.397,17.3969,7.62939e-05
130,-120.342,-120.342,3.05176e-05
131,28.8376,28.8375,6.10352e-05
132,-33.4986,-33.4987,4.57764e-05
133,46.8136,46.8136,4.57764e-05
134,56.3434,56.3434,6.10352e-05
135,-24.7352,-24.7352,3.05176e-05
136,62.2452,62.2452,3.05176e-05
137,13.0128,13.0129,7.62939e-05
138,-33.0591,-33.059,7.62939e-05
139,50.538,50.5381,4.57764e-05
140,-27.8946,-27.8946,3.05176e-05
141,-75.6951,-75.695,7.62939e-05
142,11.8476,11.8477,4.57764e-05
143,157.575,157.575,7.62939e-05
144,-137.5,-137.5,9.15527e-05
145,117.987,117.987,4.57764e-05
146,-9.75331,-9.75337,6.10352e-05
147,119.851,119.851,9.15527e-05
148,-170.897,-170.897,6.10352e-05
149,-155.843,-155.843,4.57764e-05
150,-2.15858,-2.15865,6.10352e-05
151,-16.1133,-16.1134,7.62939e-05
152,-120.545,-120.545,7.62939e-05
153,125.81,125.81,3.05176e-05
154,-32.7911,-32.791,4.57764e-05
155,-14.3073,-14.3073,4.57764e-05
156,85.7118,85.7119,7.62939e-05
157,15.8736,15.8736,6.10352e-05
158,-21.2942,-21.2942,4.57764e-05
159,8.59325,8.59329,4.57764e-05
160,-36.7485,-36.7486,4.57764e-05
161,-18.5783,-18.5784,6.10352e-05
162,21.4925,21.4925,6.10352e-05
163,-107.688,-107.688,3.05176e-05
164,-86.9964,-86.9965,7.62939e-05
165,14.041,14.041,6.10352e-05
166,-15.3969,-15.397,4.57764e-05
167,88.3135,88.3134,7.62939e-05
168,-23.6665,-23.6665,4.57764e-05
169,-79.4919,-79.4919,6.10352e-05
170,24.2334,24.2335,4.57764e-05
171,-18.6996,-18.6995,4.57764e-05
172,-4.17436,-4.17429,7.62939e-05
173,59.943,59.943,3.05176e-05
174,-34.0598,-34.0598,6.10352e-05
175,-103.162,-103.162,9.15527e-05
176,76.9799,76.9798,7.62939e-05
177,-12.3977,-12.3978,4.57764e-05
178,15.5904,15.5903,6.10352e-05
179,-121.928,-121.928,6.10352e-05
180,37.5084,37.5084,4.57764e-05
181,-121.517,-121.517,7.62939e-05
182,-98.4906,-98.4906,7.62939e-05
183,-17.4191,-17.4192,9.15527e-05
184,5.45297,5.45306,9.15527e-05
185,-17.4965,-17.4964,7.62939e-05
186,-29.2659,-29.2659,4.57764e-05
187,26.6772,26.6773,6.10352e-05
188,16.9754,16.9754,6.10352e-05
189,54.9437,54.9438,6.10352e-05
190,-93.0248,-93.0247,7.62939e-05
191,-88.6392,-88.6391,6.10352e-05
192,78.2468,78.2467,7.62939e-05
193,-37.8376,-37.8376,4.57764e-05
194,-171.069,-171.069,4.57764e-05
195,1.00427,1.0042,7.62939e-05
196,148.244,148.244,4.57764e-05
197,156.092,156.092,6.10352e-05
198,46.2384,46.2384,6.10352e-05
199,5.99785,5.99777,7.62939e-05
200,-102.624,-102.624,7.62939e-05
201,-10.5618,-10.5617,7.62939e-05
202,16.8094,16.8094,4.57764e-05
203,-141.791,-141.791,7.62939e-05
204,22.7838,22.7839,6.10352e-05
205,-66.6591,-66.659,0.000106812
206,80.4766,80.4766,6.10352e-05
207,-26.8871,-26.8871,7.62939e-05
208,2.38791,2.38782,9.15527e-05
209,-34.183,-34.183,6.10352e-05
210,-19.0037,-19.0038,6.10352e-05
211,-142.832,-142.832,4.57764e-05
212,55.4347,55.4346,7.62939e-05
213,48.1048,48.1048,3.05176e-05
214,82.9145,82.9144,4.57764e-05
215,174.855,174.855,6.10352e-05
216,-43.2984,-43.2984,6.10352e-05
217,141.185,141.185,9.15527e-05
218,158.219,158.22,6.10352e-05
219,91.5036,91.5036,6.10352e-05
220,136.153,136.153,3.05176e-05
221,125.503,125.503,3.05176e-05
222,-41.6752,-41.6751,6.10352e-05
223,44.7784,44.7785,7.62939e-05
224,55.4977,55.4977,6.10352e-05
225,69.6861,69.686,7.62939e-05
226,-61.5121,-61.5121,7.62939e-05
227,-2.04546,-2.04552,6.10352e-05
228,116.995,116.995,3.05176e-05
229,-127.539,-127.539,4.57764e-05
230,-11.3196,-11.3197,6.10352e-05
231,10.7146,10.7145,9.15527e-05
232,148.598,148.598,7.62939e-05
233,32.7196,32.7196,3.05176e-05
234,-28.1796,-28.1795,7.62939e-05
235,139.218,139.218,7.62939e-05
236,12.1999,12.1999,6.10352e-05
237,-46.6916,-46.6916,6.10352e-05
238,-45.1917,-45.1917,6.10352e-05
239,32.4621,32.4621,4.57764e-05
240,16.8696,16.8695,4.57764e-05
241,-20.0336,-20.0336,7.62939e-05
242,20.668,20.6679,7.62939e-05
243,-36.4105,-36.4105,6.10352e-05
244,11.6724,11.6723,4.57764e-05
245,97.792,97.7919,7.62939e-05
246,-122.238,-122.238,7.62939e-05
247,10.716,10.716,6.10352e-05
248,56.1897,56.1897,6.10352e-05
249,-53.6794,-53.6793,9.15527e-05
250,-38.751,-38.751,6.10352e-05
