index,expected,actual,diff
0,-0.660599,-0.667908,0.00730896
1,-2.66603,-2.68271,0.0166779
2,0.324173,0,0.324173
3,0.154465,0,0.154465
4,0.101776,0,0.101776
5,-0.320724,0,0.320724
6,0.739716,0.739609,0.000106812
7,-1.6443,0,1.6443
8,0.768539,0.774643,0.00610352
9,0.658447,0,0.658447
10,0.27774,0,0.27774
11,-0.0861969,0,0.0861969
12,-4.59013,-4.62283,0.0326996
13,-0.243271,-0.243149,0.00012207
14,-0.979584,0,0.979584
15,1.2636,1.2661,0.00250244
16,-1.65858,-1.66693,0.00834656
17,-5.13724,-5.16202,0.0247803
18,-0.269684,0,0.269684
19,0.548828,0.551941,0.00311279
20,0.99118,0.992828,0.00164795
21,-0.033783,0,0.033783
22,0.80365,0.803513,0.000137329
23,0.0270996,0.0266266,0.000473022
24,-0.301483,-0.30191,0.000427246
25,0.626617,0.627869,0.00125122
26,1.22801,1.23166,0.00364685
27,0.453842,0.455673,0.00183105
28,-0.550781,0,0.550781
29,0.00927734,0.0096283,0.000350952
30,-0.207596,0,0.207596
31,-0.0711365,0,0.0711365
32,-1.92088,-1.92744,0.00656128
33,-0.15416,-0.15419,3.05176e-05
34,-0.47139,0,0.47139
35,-0.661118,-0.664688,0.00357056
36,0.25032,0,0.25032
37,-1.02516,0,1.02516
38,0.0478058,0,0.0478058
39,-0.352646,0,0.352646
40,0.190918,0,0.190918
41,-0.200363,0,0.200363
42,-0.0932465,-0.0933228,7.62939e-05
43,0.736786,0,0.736786
44,0.493576,0,0.493576
45,0.606766,0.608109,0.00134277
46,-1.08711,0,1.08711
47,-0.788071,0,0.788071
48,-0.403671,0,0.403671
49,-0.307343,-0.307434,9.15527e-05
50,-0.0628662,0,0.0628662
51,-0.449036,0,0.449036
52,-0.280991,-0.282654,0.00166321
53,-0.695358,-0.699799,0.00444031
54,-1.2547,-1.25426,0.000442505
55,-0.0463104,0,0.0463104
56,0.394592,0.394333,0.000259399
57,0.736618,0,0.736618
58,0.501938,0.506302,0.00436401
59,0.24054,0.241745,0.00120544
60,0.364563,0.363922,0.000640869
61,0.550064,0.550735,0.000671387
62,0.390442,0,0.390442
63,-0.163361,0,0.163361
64,1.22649,1.23979,0.0133057
65,-2.82336,-2.83762,0.0142517
66,-0.125427,-0.126312,0.00088501
67,0.160309,0.161301,0.000991821
68,0.196533,0.196762,0.000228882
69,-0.280411,-0.280518,0.000106812
70,0.228333,0.227783,0.000549316
71,0.210052,0.210602,0.000549316
72,1.22858,1.23813,0.009552
73,-0.179611,-0.180573,0.000961304
74,-0.0361176,-0.0367889,0.000671387
75,-0.426285,-0.426361,7.62939e-05
76,0.531143,0.533966,0.00282288
77,0.395157,0.395615,0.000457764
78,-0.768127,-0.767853,0.000274658
79,-0.166214,-0.166977,0.000762939
80,0.961197,0.965469,0.00427246
81,-2.74825,-2.76268,0.0144348
82,-0.555313,-0.555237,7.62939e-05
83,0.964539,0.965195,0.000656128
84,-0.373413,-0.37294,0.000473022
85,-0.237564,-0.238266,0.000701904
86,0.385773,0.385788,1.52588e-05
87,0.222839,0.223129,0.000289917
88,-2.58658,-2.58371,0.00286865
89,0.0941467,0.0933838,0.000762939
90,0.572784,0.574112,0.00132751
91,1.04385,1.04781,0.00395203
92,0.334122,0.334,0.00012207
93,-0.531525,-0.534729,0.00320435
94,1.08029,1.08015,0.000137329
95,0.02742,0.0281525,0.000732422
96,0.845398,0.847412,0.00201416
97,0.200775,0.2005,0.000274658
98,0.63063,0.631683,0.00105286
99,-0.21907,-0.22023,0.00115967
100,-0.234283,-0.234055,0.000228882
101,0.681,0.681137,0.000137329
102,-0.427795,-0.428207,0.000411987
103,-0.740784,-0.743149,0.00236511
104,-0.612274,-0.613617,0.00134277
105,-0.874573,-0.878418,0.00384521
106,0.0872803,0.0875397,0.000259399
107,-0.369171,-0.369751,0.000579834
108,-0.139786,-0.139816,3.05176e-05
109,-0.747192,-0.748535,0.00134277
110,-0.199387,-0.199844,0.000457764
111,-0.450378,-0.450928,0.000549316
112,-0.184372,-0.185089,0.000717163
113,-0.106674,-0.107086,0.000411987
114,-0.482681,-0.482422,0.000259399
115,0.179291,0.179169,0.00012207
