group,index,expected,actual,diff
0,0,-55.875,-56.482,0.60704
0,1,77.7684,78.1837,0.415298
0,2,94.3786,95.0435,0.664825
0,3,-42.3673,-42.5278,0.160553
0,4,-110.125,-110.71,0.584778
0,5,40.6898,40.9331,0.243271
0,6,-29.2161,-29.4852,0.269089
0,7,-41.7507,-41.9113,0.160614
1,0,158.293,159.129,0.836563
1,1,129.721,129.646,0.0746307
1,2,-6.87137,-6.95219,0.0808258
1,3,8.1138,8.07498,0.0388184
1,4,-69.4268,-69.4009,0.0258942
1,5,-60.3337,-60.4022,0.0684662
1,6,-19.4716,-19.5784,0.106766
1,7,51.6093,51.6802,0.0708771
2,0,13.6789,13.8015,0.122543
2,1,-12.9294,-13.003,0.0735474
2,2,-45.3965,-45.6118,0.215317
2,3,30.3332,30.4604,0.127121
2,4,82.5574,82.6391,0.0816956
2,5,109.056,109.195,0.13916
2,6,26.8905,27.0496,0.159027
2,7,59.9939,60.0218,0.0278778
3,0,162.636,163.499,0.863098
3,1,-98.052,-97.9714,0.0806122
3,2,54.5777,54.6161,0.0384216
3,3,14.9411,15.0236,0.0824585
3,4,-89.204,-89.2088,0.00488281
3,5,22.4459,22.4889,0.0430145
3,6,-54.5431,-54.7189,0.175812
3,7,-57.7134,-57.7836,0.0702209
4,0,-225.375,-226.572,1.19676
4,1,21.0087,21.0466,0.0378571
4,2,-81.9951,-82.122,0.126831
4,3,-41.1823,-41.2557,0.0733643
4,4,-146.125,-146.094,0.0312042
4,5,-138.263,-138.204,0.0590057
4,6,20.5689,20.6537,0.0848389
4,7,-2.11021,-2.05551,0.0547028
5,0,-56.3896,-56.8507,0.46109
5,1,-32.8803,-32.813,0.0672455
5,2,3.03787,2.95142,0.0864563
5,3,135.628,135.626,0.00111389
5,4,-12.4819,-12.3958,0.0861053
5,5,71.0194,70.9168,0.10257
5,6,-33.9967,-34.0586,0.0619354
5,7,-41.4198,-41.4691,0.0492859
6,0,38.5768,38.8475,0.270676
6,1,34.7453,34.8537,0.108398
6,2,-110.859,-111.199,0.339127
6,3,32.9426,32.998,0.0554352
6,4,-96.2986,-96.5125,0.213882
6,5,-4.48988,-4.57309,0.0832062
6,6,55.8965,56.1498,0.253281
6,7,-52.8226,-52.9347,0.112091
7,0,72.5166,72.9565,0.439835
7,1,29.2909,29.3843,0.093399
7,2,100.196,100.412,0.215714
7,3,-18.7985,-18.7941,0.00445557
7,4,-30.8174,-30.8215,0.00408936
7,5,25.7075,25.6392,0.0682983
7,6,121.536,121.69,0.153763
7,7,18.8187,18.8971,0.0784607
8,0,150.75,152.388,1.63779
8,1,-35.2749,-35.4407,0.165787
8,2,97.6639,98.3788,0.714828
8,3,-42.2574,-42.4487,0.191254
8,4,-39.75,-39.9611,0.211075
8,5,47.4314,47.7404,0.309006
8,6,13.6659,13.705,0.0391083
8,7,-67.5954,-67.9688,0.373474
9,0,-63.3533,-63.672,0.318695
9,1,-47.9024,-47.7006,0.201859
9,2,-13.9715,-13.9083,0.0631561
9,3,139.068,138.976,0.0910339
9,4,10.3925,10.4508,0.0583496
9,5,-65.2572,-65.263,0.00579834
9,6,-9.57483,-9.69678,0.121948
9,7,-44.4623,-44.5015,0.0391846
10,0,25.2114,25.3938,0.182434
10,1,7.16147,7.15399,0.00747681
10,2,71.9935,72.1808,0.187271
10,3,-46.6002,-46.664,0.0637665
10,4,13.2338,13.261,0.0272064
10,5,67.9805,68.1243,0.14386
10,6,-61.4273,-61.6759,0.248611
10,7,-35.229,-35.1693,0.0596619
11,0,-11.9402,-12.004,0.0637817
11,1,-6.67252,-6.65691,0.0156097
11,2,173.345,173.546,0.200775
11,3,-71.6896,-71.5236,0.165955
11,4,-205.57,-205.488,0.0825195
11,5,2.12546,2.18152,0.0560608
11,6,-58.7531,-59.0112,0.258102
11,7,-71.7051,-71.712,0.00686646
12,0,-50.75,-51.0195,0.269485
12,1,16.0014,15.9779,0.0235138
12,2,-161.097,-161.343,0.245682
12,3,74.442,74.4406,0.00146484
12,4,-74.75,-74.734,0.0159607
12,5,27.3678,27.296,0.0718384
12,6,46.1631,46.3395,0.176453
12,7,35.4043,35.3743,0.029953
13,0,22.2121,22.3626,0.150528
13,1,-44.1791,-44.0442,0.134933
13,2,-82.6315,-82.8829,0.251419
13,3,103.79,103.798,0.00845337
13,4,-0.774567,-0.586899,0.187668
13,5,-7.98503,-7.99226,0.00723267
13,6,-29.8123,-29.8322,0.0199585
13,7,-53.8393,-53.8267,0.0125732
14,0,0.110443,0.0958099,0.0146332
14,1,-16.0159,-16.1719,0.155991
14,2,-58.4273,-58.6651,0.237747
14,3,-66.6528,-66.7864,0.133652
14,4,7.77771,7.78287,0.00515747
14,5,-18.491,-18.5801,0.0891571
14,6,28.5065,28.6826,0.176163
14,7,179.693,180.03,0.336502
15,0,-38.1958,-38.4392,0.243408
15,1,-143.298,-143.26,0.0384979
15,2,-46.0894,-46.1172,0.027832
