index,expected,actual,diff
0,-16.7951,-3.56111,13.2339
1,-0.00811768,0.243881,0.251999
2,0.0502014,0,0.0502014
3,0.00549316,0,0.00549316
4,-0.0259247,0,0.0259247
5,-0.0276489,0,0.0276489
6,0.0428619,0.193527,0.150665
7,-0.0440369,0,0.0440369
8,-0.0231018,0.151886,0.174988
9,0.0117188,0,0.0117188
10,-0.0291443,0,0.0291443
11,0.0436554,0,0.0436554
12,0.0835724,-0.643158,0.72673
13,0.0610962,-0.0913239,0.15242
14,-0.0493622,0,0.0493622
15,-0.00473022,0.385651,0.390381
16,0.0923004,0.699432,0.607132
17,0.146805,-2.84175,2.98856
18,0.0182495,0,0.0182495
19,-0.0416718,-0.895676,0.854004
20,0.0254364,-1.20709,1.23253
21,0.0187683,0,0.0187683
22,-0.0297089,-0.70433,0.674622
23,-0.0078125,-0.362274,0.354462
24,0.0910797,3.09396,3.00288
25,0.0376129,1.5834,1.54579
26,0.0752869,1.11203,1.03674
27,0.0402069,-0.0966949,0.136902
28,-0.0398865,0,0.0398865
29,0.0326538,0.444168,0.411514
30,-0.010025,0,0.010025
31,0.0587006,0,0.0587006
32,0.153564,0.912933,0.759369
33,0.0391693,0.283859,0.24469
34,0.028244,0,0.028244
35,0.0105896,-0.30603,0.31662
36,-0.0401306,0,0.0401306
37,-0.00891113,0,0.00891113
38,-0.00653076,0,0.00653076
39,0.0137939,0,0.0137939
40,-0.019989,0,0.019989
41,0.0237579,0,0.0237579
42,-0.00382996,0.26799,0.27182
43,-0.0032959,0,0.0032959
44,0.055481,0,0.055481
45,0.0446167,-0.369034,0.413651
46,0.00698853,0,0.00698853
47,-0.0168304,0,0.0168304
48,0.000793457,0,0.000793457
49,-0.0251923,-0.419235,0.394043
50,-0.00791931,0,0.00791931
51,-0.0366211,0,0.0366211
52,0.00642395,0.465378,0.458954
53,-0.0284119,-0.500793,0.472382
54,0.0254822,-0.205933,0.231415
55,0.0182037,0,0.0182037
56,-0.0108185,-0.831299,0.82048
57,-0.00350952,0,0.00350952
