index,expected,actual,diff
0,12.297,-1.98746,14.2844
1,-77.8822,8.31371,86.1959
2,-53.9688,5.39359,59.3624
3,42.1307,-6.01721,48.1479
4,25.3186,-6.20219,31.5208
5,-17.1272,7.21472,24.3419
6,2.9444,-1.63145,4.57585
7,-1.7592,1.49055,3.24976
8,-69.5593,8.26662,77.8259
9,75.7846,-7.57707,83.3616
10,-64.4973,7.46796,71.9653
11,44.5827,-8.22112,52.8038
12,-15.1125,4.51396,19.6265
13,8.9147,-6.62688,15.5416
14,-16.6385,15.6024,32.2408
15,-14.3003,16.0398,30.3401
16,11.4105,-1.7356,13.1461
17,-60.9112,7.00822,67.9194
18,-30.8399,4.74344,35.5833
19,-24.4962,7.25647,31.7527
20,0.536316,-0.335297,0.871613
21,11.9281,-12.3638,24.2919
22,-13.3186,26.2447,39.5633
23,-1.78067,4.1564,5.93707
24,26.9332,-4.89642,31.8296
25,22.5518,-3.72061,26.2724
26,32.2555,-6.50742,38.763
27,-4.14772,1.7692,5.91692
28,2.99188,-2.72415,5.71603
29,-0.611862,1.43903,2.05089
30,4.11848,-14.9804,19.0989
31,-7.51892,25.9001,33.419
32,7.48096,-2.17177,9.65273
33,-41.7671,11.4828,53.2499
34,14.0178,-5.96014,19.978
35,11.533,-12.6666,24.1996
36,-1.10095,2.58102,3.68198
37,-1.83502,9.09567,10.9307
38,4.8949,-29.6696,34.5645
39,2.42538,-13.3411,15.7665
40,27.289,-11.691,38.98
41,-10.8564,5.5094,16.3658
42,-10.8587,10.476,21.3347
43,-13.9422,22.302,36.2441
44,11.7512,-39.6695,51.4207
45,-5.5006,35.7625,41.2631
46,7.72229,-67.1174,74.8397
47,-10.4831,68.9202,79.4033
48,17.5002,-15.6023,33.1026
49,7.58075,-8.08418,15.6649
50,-8.24184,11.0872,19.329
51,8.23669,-27.576,35.8127
52,6.37057,-34.5474,40.918
53,6.0817,-52.5249,58.6066
54,2.45869,-24.5915,27.0502
55,3.5934,-30.2367,33.8301
56,3.93521,-4.64444,8.57965
57,-10.7419,19.3867,30.1286
58,-3.00035,7.12256,10.1229
59,1.57834,-6.44313,8.02147
60,-8.04366,56.3193,64.363
61,1.38094,-13.8179,15.1989
62,1.38142,-12.9412,14.3226
63,-4.3183,26.7186,31.0369
64,17.6565,-2.85367,20.5101
