index,expected,actual,diff
0,-13.7018,-13.7018,0
1,13.9945,13.9945,0
2,-2.62451,-2.62451,0
3,39.9912,39.9912,0
4,0.158905,0.158905,0
5,10.7324,10.7324,0
6,1.29059,1.29059,0
7,-8.8606,-8.8606,0
8,-71.0552,-71.0552,0
9,25.0369,25.0369,0
10,26.1463,26.1463,0
11,-16.2377,-16.2377,0
12,27.0089,27.0089,0
13,7.43512,7.43512,0
14,16.4532,16.4532,0
15,-18.1027,-18.1027,0
16,32.9102,32.9102,0
17,58.8306,58.8306,0
18,-31.5337,-31.5337,0
19,-11.395,-11.395,0
20,-8.83493,-8.83493,0
21,-5.49294,-5.49294,0
22,5.7357,5.7357,0
23,-3.84717,-3.84717,0
24,-49.5044,-49.5044,0
25,36.989,36.989,0
26,-4.10997,-4.10997,0
27,-17.969,-17.969,0
28,-1.11417,-1.11417,0
29,6.48874,6.48874,0
30,2.40146,2.40146,0
31,-1.84021,-1.84021,0
32,-54.8661,-54.8661,0
33,-33.3511,-33.3511,0
34,25.9638,25.9638,0
35,7.8261,7.8261,0
36,10.3584,10.3584,0
37,-8.15213,-8.15213,0
38,4.06296,4.06296,0
39,12.68,12.68,0
40,-18.3889,-18.3889,0
41,4.66412,4.66412,0
42,-14.967,-14.967,0
43,-1.16475,-1.16475,0
44,0.568054,0.568054,0
45,9.12688,9.12688,0
46,5.18449,5.18449,0
47,1.51378,1.51378,0
48,-6.57571,-6.57571,0
49,0.58493,0.58493,0
50,-8.36377,-8.36377,0
51,2.33911,2.33911,0
52,4.65172,4.65172,0
53,0.953461,0.953461,0
54,4.55673,4.55673,0
55,9.7054,9.7054,0
56,-13.038,-13.038,0
57,1.35165,1.35165,0
58,3.40247,3.40247,0
59,-0.859604,-0.859604,0
60,2.36481,2.36481,0
61,-5.26471,-5.26471,0
62,-4.4158,-4.4158,0
63,2.31273,2.31273,0
64,-32.6398,-32.6398,0
65,71.905,71.905,0
66,-38.8311,-38.8311,0
67,42.2865,42.2865,0
68,34.3574,34.3574,0
69,-1.36897,-1.36897,0
70,-15.7337,-15.7337,0
71,-10.7792,-10.7792,0
72,-76.3863,-76.3863,0
73,-70.1657,-70.1657,0
74,-59.4361,-59.4361,0
75,33.8962,33.8962,0
76,-20.2154,-20.2154,0
77,-15.6864,-15.6864,0
78,5.60112,5.60112,0
79,-16.2441,-16.2441,0
80,1.5285,1.5285,0
81,6.31366,6.31366,0
82,-41.0046,-41.0046,0
83,18.4385,18.4385,0
84,-6.02734,-6.02734,0
85,1.38506,1.38506,0
86,-4.79829,-4.79829,0
87,-2.80405,-2.80405,0
88,-56.2606,-56.2606,0
89,52.329,52.329,0
90,-22.4706,-22.4706,0
91,-18.2144,-18.2144,0
92,-16.5672,-16.5672,0
93,-5.43489,-5.43489,0
94,10.4951,10.4951,0
95,-4.43785,-4.43785,0
96,36.4993,36.4993,0
97,2.03818,2.03818,0
98,12.1967,12.1967,0
99,-9.88098,-9.88098,0
100,-11.8784,-11.8784,0
101,6.18262,6.18262,0
102,2.25864,2.25864,0
103,2.31523,2.31523,0
104,-8.90912,-8.90912,0
105,25.5563,25.5563,0
106,-17.3792,-17.3792,0
107,10.283,10.283,0
108,-5.8591,-5.8591,0
109,-5.67668,-5.67668,0
110,-3.42065,-3.42065,0
111,-3.13173,-3.13173,0
112,9.35651,9.35651,0
113,-4.37961,-4.37961,0
114,-11.4828,-11.4828,0
115,2.87413,2.87413,0
116,-3.51562,-3.51562,0
117,-2.00517,-2.00517,0
118,-0.889343,-0.889343,0
119,7.2921,7.2921,0
120,4.21217,4.21217,0
121,-5.88611,-5.88611,0
122,-3.12395,-3.12395,0
123,6.77113,6.77113,0
124,-6.0471,-6.0471,0
125,2.63652,2.63652,0
126,-1.38464,-1.38464,0
127,-4.26987,-4.26987,0
128,-2.86281,-2.86281,0
129,34.078,34.078,0
130,31.9047,31.9047,0
131,21.7106,21.7106,0
132,-8.80145,-8.80145,0
133,11.8877,11.8877,0
