group,index,expected,actual,diff
0,0,45,45,0
0,1,228.887,0,228.887
0,2,-213.887,-188.039,25.848
0,3,-148.933,0,148.933
0,4,-48.7904,-188.039,139.249
0,5,-39.3827,0,39.3827
0,6,-19.3218,-188.039,168.717
0,7,-227.434,0,227.434
1,0,316,316,0
1,1,-118.989,-38.4531,80.5363
1,2,72.4752,-39.6602,112.135
1,3,187.863,0,187.863
1,4,-87.6812,-39.6602,48.0211
1,5,167.073,0,167.073
1,6,300.618,-39.6602,340.278
1,7,-267.253,-38.4531,228.8
2,0,-275,-275,0
2,1,-21.1714,602.234,623.406
2,2,-84.8769,-190.812,105.936
2,3,-120.656,0,120.656
2,4,150.614,-190.812,341.426
2,5,-50.9535,0,50.9535
2,6,-14.5917,-190.812,176.221
2,7,-260.981,602.234,863.215
3,0,-302,-302,0
3,1,-86.156,-29.1328,57.0232
3,2,20.3572,108.164,87.8069
3,3,152.975,0,152.975
3,4,176.777,108.164,68.6126
3,5,-125.976,0,125.976
3,6,97.1884,108.164,10.9757
3,7,63.6297,-29.1328,92.7625
4,0,165,165,0
4,1,208.724,194.703,14.0208
4,2,189.101,237.129,48.0281
4,3,25.0396,0,25.0396
4,4,-111.016,237.129,348.145
4,5,-152.155,0,152.155
4,6,11.2198,237.129,225.909
4,7,449.268,194.703,254.565
5,0,-10,-10,0
5,1,-128.367,22.25,150.617
5,2,24.8154,-3.32812,28.1435
5,3,-134.73,0,134.73
5,4,-141.421,-3.32812,138.093
5,5,-153.061,0,153.061
5,6,-161.822,-3.32812,158.493
5,7,128.372,22.25,106.122
6,0,-494,-494,0
6,1,31.5528,-324.258,355.811
6,2,-19.8545,-76.5469,56.6924
6,3,-49.9383,0,49.9383
6,4,128.693,-76.5469,205.24
6,5,22.1873,0,22.1873
6,6,-77.4971,-76.5469,0.950226
6,7,-103.248,-324.258,221.01
7,0,-253,-253,0
7,1,140.68,-155.25,295.93
7,2,172.183,-16.918,189.101
7,3,44.4765,0,44.4765
7,4,-147.785,-16.918,130.867
7,5,-23.3007,0,23.3007
7,6,-170.053,-16.918,153.135
7,7,-78.4455,-155.25,76.8045
8,0,333,333,0
8,1,-84.0534,-340.93,256.876
8,2,-98.9639,24.6836,123.647
8,3,161.416,0,161.416
8,4,225.567,24.6836,200.883
8,5,10.5143,0,10.5143
8,6,-92.947,24.6836,117.631
8,7,-111.959,-340.93,228.971
9,0,-460,-460,0
9,1,-3.37567,-186.109,182.734
9,2,-23.6362,0.554688,24.1909
9,3,-42.5722,0,42.5722
9,4,-39.598,0.554688,40.1527
9,5,-118.247,0,118.247
9,6,-193.797,0.554688,194.352
9,7,43.8116,-186.109,229.921
10,0,160,160,0
10,1,122.784,-388.266,511.05
10,2,-53.6301,-145.605,91.9754
10,3,-111.274,0,111.274
10,4,172.534,-145.605,318.14
10,5,-37.9314,0,37.9314
10,6,103.343,-145.605,248.949
10,7,-180.095,-388.266,208.171
11,0,-26,-26,0
11,1,71.0411,207.125,136.084
11,2,24.7796,86.2539,61.4743
11,3,133.444,0,133.444
11,4,-387.495,86.2539,473.748
11,5,150.99,0,150.99
11,6,115.256,86.2539,29.0022
11,7,38.8667,207.125,168.258
12,0,-111,-111,0
12,1,220.749,230.898,10.149
12,2,-4.34743,122.586,126.933
12,3,6.51707,0,6.51707
12,4,-96.8736,122.586,219.46
12,5,-2.96056,0,2.96056
12,6,128.086,122.586,5.50037
12,7,238.479,230.898,7.58081
13,0,-331,-331,0
13,1,-35.941,256.641,292.582
13,2,-266.057,-133.957,132.1
13,3,-247.258,0,247.258
13,4,-33.234,-133.957,100.723
13,5,-92.7525,0,92.7525
13,6,9.94124,-133.957,143.898
13,7,-20.5812,256.641,277.222
14,0,476,476,0
14,1,132.327,20.2422,112.085
14,2,-155.388,-108.719,46.6694
14,3,-85.3614,0,85.3614
14,4,-73.5391,-108.719,35.1796
14,5,130.717,0,130.717
14,6,72.0175,-108.719,180.736
14,7,-132.407,20.2422,152.649
15,0,-127,-127,0
15,1,-321.144,144.484,465.629
15,2,-68.8108,-41.0469,27.7639
15,3,165.708,0,165.708
15,4,123.744,-41.0469,164.791
15,5,-281.311,0,281.311
15,6,53.7595,-41.0469,94.8063
15,7,-247.179,144.484,391.663
16,0,-160,-160,0
16,1,177.13,107.797,69.3327
16,2,-55.9899,1.38672,57.3766
16,3,-77.6102,0,77.6102
16,4,181.019,1.38672,179.633
16,5,63.2867,0,63.2867
16,6,-68.6523,1.38672,70.039
16,7,80.1278,107.797,27.6691
17,0,375,375,0
17,1,-13.2702,-137.484,124.214
17,2,45.5168,-207.453,252.97
17,3,-251.005,0,251.005
17,4,-65.7609,-207.453,141.692
17,5,25.9981,0,25.9981
17,6,-47.1723,-207.453,160.281
17,7,-164.011,-137.484,26.5268
18,0,184,184,0
18,1,56.8633,-94.5703,151.434
18,2,95.0648,-54.9141,149.979
18,3,-162.81,0,162.81
18,4,14.1421,-54.9141,69.0562
18,5,-121.917,0,121.917
18,6,214.725,-54.9141,269.639
18,7,53.0263,-94.5703,147.597
19,0,120,120,0
19,1,-7.49628,430.109,437.606
19,2,177.885,-48.8125,226.697
19,3,-133.307,0,133.307
19,4,74.9533,-48.8125,123.766
19,5,-73.1139,0,73.1139
19,6,-165.526,-48.8125,116.714
19,7,35.7458,430.109,394.364
20,0,-77,-77,0
20,1,-71.0445,-331.867,260.823
20,2,94.6343,140.059,45.4243
20,3,228.981,0,228.981
20,4,17.6777,140.059,122.381
20,5,297.319,0,297.319
20,6,82.4945,140.059,57.5641
20,7,50.9597,-331.867,382.827
21,0,-206,-206,0
21,1,378.503,165.172,213.331
21,2,-36.9074,96.5156,133.423
21,3,-51.4909,0,51.4909
21,4,-50.9117,96.5156,147.427
21,5,-37.6772,0,37.6772
21,6,117.847,96.5156,21.3311
21,7,244.203,165.172,79.0314
22,0,-120,-120,0
22,1,12.3518,236.164,223.812
22,2,-187.998,-59.3516,128.646
22,3,29.0358,0,29.0358
22,4,-26.8701,-59.3516,32.4815
22,5,138.969,0,138.969
22,6,111.547,-59.3516,170.899
22,7,-147.928,236.164,384.092
23,0,-270,-270,0
23,1,-92.153,223.727,315.88
23,2,-236.363,-167.238,69.1249
23,3,-160.121,0,160.121
23,4,32.5269,-167.238,199.765
23,5,-86.0379,0,86.0379
23,6,194.341,-167.238,361.579
23,7,-174.243,223.727,397.969
24,0,426,426,0
24,1,-194.015,389.672,583.687
24,2,59.2569,-80.4297,139.687
24,3,-78.4702,0,78.4702
24,4,-73.5391,-80.4297,6.89058
24,5,17.2385,0,17.2385
24,6,-244.971,-80.4297,164.541
24,7,-82.2379,389.672,471.91
25,0,139,139,0
25,1,31.5212,-490.898,522.42
25,2,23.2349,-4.71484,27.9498
25,3,-171.38,0,171.38
25,4,58.6899,-4.71484,63.4047
25,5,-100.818,0,100.818
25,6,-108.357,-4.71484,103.642
25,7,162.023,-490.898,652.921
26,0,34,34,0
26,1,115.537,-217.133,332.67
26,2,204.884,185.266,19.6181
26,3,83.6366,0,83.6366
26,4,72.1249,185.266,113.141
26,5,-22.199,0,22.199
26,6,-19.0441,185.266,204.31
26,7,286.881,-217.133,504.014
27,0,-550,-550,0
27,1,-4.605,-38.4062,33.8013
27,2,-178.227,1.94141,180.169
27,3,-49.8069,0,49.8069
27,4,18.3848,1.94141,16.4434
27,5,-46.3067,0,46.3067
27,6,-34.858,1.94141,36.7994
27,7,53.7449,-38.4062,92.1511
28,0,289,289,0
28,1,-78.4598,-69.625,8.83476
28,2,-196.569,-8.32031,188.248
28,3,-135.068,0,135.068
28,4,27.5772,-8.32031,35.8975
28,5,7.74908,0,7.74908
28,6,22.4882,-8.32031,30.8085
28,7,118.499,-69.625,188.124
29,0,-425,-425,0
29,1,-93.0974,45.2969,138.394
29,2,74.0277,-41.0469,115.075
29,3,-31.3435,0,31.3435
29,4,23.3345,-41.0469,64.3814
29,5,155.323,0,155.323
29,6,-207.463,-41.0469,166.416
29,7,-50.8357,45.2969,96.1326
30,0,-49,-49,0
30,1,-67.4197,-415.766,348.346
30,2,-370.786,199.965,570.751
30,3,193.025,0,193.025
30,4,-31.8198,199.965,231.785
30,5,-92.3864,0,92.3864
30,6,-265.071,199.965,465.036
30,7,207.168,-415.766,622.933
31,0,80,80,0
31,1,-217.877,-530.648,312.771
31,2,-31.4504,170.844,202.294
31,3,-35.2986,0,35.2986
31,4,-1.41422,170.844,172.258
31,5,-12.6395,0,12.6395
31,6,5.3735,170.844,165.47
31,7,377.311,-530.648,907.96
32,0,233,233,0
32,1,236.837,10.8047,226.032
32,2,-286.783,-86.2539,200.529
32,3,-42.0369,0,42.0369
32,4,-26.1629,-86.2539,60.091
32,5,-55.8177,0,55.8177
32,6,140.985,-86.2539,227.239
32,7,-130.704,10.8047,141.509
33,0,-544,-544,0
33,1,-32.3857,282.828,315.214
33,2,-210.866,9.70703,220.573
33,3,89.3351,0,89.3351
33,4,135.764,9.70703,126.057
33,5,46.5279,0,46.5279
33,6,174.595,9.70703,164.888
33,7,-69.9316,282.828,352.76
34,0,-97,-97,0
34,1,-305.302,350.078,655.381
34,2,-11.6456,-142.277,130.632
34,3,19.5613,0,19.5613
34,4,27.5772,-142.277,169.855
34,5,190.751,0,190.751
34,6,132.64,-142.277,274.917
34,7,-304.06,350.078,654.138
35,0,359,359,0
35,1,156.024,265.773,109.749
35,2,-74.2798,168.348,242.628
35,3,112.938,0,112.938
35,4,84.1457,168.348,84.202
35,5,125.404,0,125.404
35,6,-243.999,168.348,412.347
35,7,223.535,265.773,42.2388
36,0,12,12,0
36,1,386.118,-488.789,874.907
36,2,60.7744,80.707,19.9326
36,3,-93.183,0,93.183
36,4,83.4386,80.707,2.73157
36,5,104.614,0,104.614
36,6,-34.358,80.707,115.065
36,7,254.111,-488.789,742.9
37,0,-43,-43,0
37,1,-218.77,-68.9141,149.856
37,2,-114.989,-27.7344,87.2544
37,3,-77.6834,0,77.6834
37,4,-197.283,-27.7344,169.548
37,5,27.8514,0,27.8514
37,6,79.01,-27.7344,106.744
37,7,22.4055,-68.9141,91.3195
38,0,-142,-142,0
38,1,-282.995,158.445,441.44
38,2,-58.8338,-50.1992,8.63458
38,3,122.618,0,122.618
38,4,-154.149,-50.1992,103.95
38,5,308.451,0,308.451
38,6,42.7386,-50.1992,92.9378
38,7,-223.067,158.445,381.512
39,0,-233,-233,0
39,1,-262.553,85.7031,348.256
39,2,70.8415,28.8438,41.9978
39,3,193.419,0,193.419
39,4,30.4056,28.8438,1.56184
39,5,181.942,0,181.942
39,6,-296.457,28.8438,325.3
39,7,-135.632,85.7031,221.335
40,0,95,95,0
40,1,-107.838,-594.07,486.233
40,2,64.5356,90.1367,25.6011
40,3,55.965,0,55.965
40,4,48.7904,90.1367,41.3463
40,5,-175.005,0,175.005
40,6,-38.212,90.1367,128.349
40,7,124.652,-594.07,718.722
41,0,-206,-206,0
41,1,-83.9804,-76.6406,7.3398
41,2,74.8933,142.555,67.6614
41,3,262.666,0,262.666
41,4,-77.7818,142.555,220.336
41,5,462.99,0,462.99
41,6,132.767,142.555,9.78799
41,7,22.1049,-76.6406,98.7455
42,0,-413,-413,0
42,1,126.245,265.922,139.677
42,2,208.283,34.668,173.615
42,3,5.12912,0,5.12912
42,4,-77.0746,34.668,111.743
42,5,-105.032,0,105.032
42,6,98.1799,34.668,63.5119
42,7,64.2003,265.922,201.722
43,0,-298,-298,0
43,1,95.2312,196.461,101.23
43,2,-106.04,-67.3945,38.6453
43,3,-97.1233,0,97.1233
43,4,-223.446,-67.3945,156.051
43,5,-238.067,0,238.067
43,6,91.3759,-67.3945,158.77
43,7,-37.5446,196.461,234.006
44,0,399,399,0
44,1,-114.581,183.211,297.792
44,2,199.524,-18.0273,217.552
44,3,111.477,0,111.477
