index,expected,actual,diff
0,87.6491,87.6506,0.00151062
1,145.616,145.618,0.00184631
2,177.474,177.476,0.00146484
3,178.457,178.46,0.00244141
4,140.687,140.687,0.000137329
5,103.215,103.216,0.000854492
6,176.277,176.276,0.000366211
7,35.6676,35.6665,0.00108337
8,127.031,127.033,0.00128174
9,162.756,162.756,3.05176e-05
10,61.2246,61.2234,0.00125122
11,54.6312,54.6299,0.00132751
12,80.0827,80.0811,0.00163269
13,141.447,141.447,0.000732422
14,235.926,235.927,0.00114441
15,148.088,148.09,0.00111389
16,157.284,157.285,0.000762939
17,103.311,103.309,0.00231934
18,188.824,188.825,0.0015564
19,109.436,109.435,0.000961304
20,127.354,127.354,0.000946045
21,200.074,200.073,0.00114441
22,183.255,183.256,0.00166321
23,123.494,123.496,0.00267029
24,103.036,103.037,0.000228882
25,140.118,140.118,0.000228882
26,104.713,104.716,0.00247192
27,160.531,160.533,0.00128174
28,103.607,103.605,0.0014801
29,108.879,108.878,0.000793457
30,39.6298,39.6301,0.000305176
31,82.7453,82.7437,0.00166321
32,125.062,125.061,0.0012207
33,106.84,106.842,0.00221252
34,116.289,116.289,0.000289917
35,205.312,205.313,0.00149536
36,109.959,109.959,0.000823975
37,155.19,155.191,0.000701904
38,224.161,224.163,0.00158691
39,135.642,135.642,0.00038147
40,225.091,225.094,0.0032959
41,210.862,210.862,0.000183105
42,173.581,173.581,1.52588e-05
43,177.628,177.626,0.00189209
44,205.016,205.016,0.000640869
45,69.8509,69.8494,0.00151062
46,203.052,203.053,0.00088501
47,131.588,131.59,0.00112915
48,66.7054,66.7029,0.00247192
49,115.024,115.024,0.000152588
50,116.874,116.874,0.000259399
51,207.481,207.479,0.0012207
52,143.526,143.529,0.00234985
53,236.775,236.777,0.00125122
54,138.518,138.521,0.00283813
55,222.531,222.533,0.00128174
56,156.275,156.277,0.00125122
57,125.854,125.854,0.000946045
58,146.3,146.301,0.00140381
59,153.77,153.768,0.00149536
60,131.443,131.443,0.000167847
61,224.485,224.488,0.00317383
62,80.4622,80.4636,0.00137329
63,94.9259,94.927,0.00114441
64,72.9308,72.9309,9.15527e-05
65,129.602,129.602,0.000427246
66,126.195,126.195,0.000350952
67,214.779,214.781,0.0018158
68,60.7282,60.7275,0.000686646
69,137.675,137.675,4.57764e-05
70,87.3288,87.3293,0.00050354
71,71.5413,71.5405,0.000808716
72,121.986,121.988,0.00154114
73,212.991,212.992,0.000488281
74,59.4479,59.447,0.00088501
75,125.72,125.719,0.000198364
76,189.49,189.492,0.00210571
77,151.953,151.951,0.00193787
78,56.6847,56.6826,0.00205994
79,138.858,138.858,0.00038147
80,58.1555,58.1543,0.00115967
81,67.562,67.5608,0.0012207
82,141.606,141.606,0.000152588
83,116.208,116.207,0.000274658
84,103.436,103.435,0.000961304
85,133.495,133.496,0.00105286
86,53.7597,53.7603,0.000595093
87,111.443,111.443,0.000167847
88,188.834,188.833,0.000549316
89,155.562,155.561,0.0012207
90,156.097,156.098,0.000640869
91,110.858,110.858,0.00038147
92,193.711,193.711,0.000289917
93,139.168,139.167,0.00108337
94,202.756,202.756,3.05176e-05
95,209.938,209.939,0.0012207
96,49.164,49.1624,0.00164795
97,52.9501,52.9514,0.001297
98,205.075,205.078,0.00265503
99,124.052,124.053,0.00088501
100,218.193,218.196,0.00288391
101,202.899,202.898,0.00119019
102,155.076,155.077,0.0010376
103,194.621,194.622,0.000793457
104,231.41,231.411,0.00050354
105,140.163,140.163,3.05176e-05
106,121.531,121.528,0.0025177
107,186.438,186.439,0.0012207
108,127.491,127.492,0.000488281
109,111.814,111.813,0.00175476
110,20.3459,20.3455,0.000473022
111,155.223,155.224,0.000366211
112,125.827,125.83,0.00213623
113,58.1712,58.1707,0.000518799
114,65.7489,65.7478,0.00109863
115,126.727,126.728,0.000930786
116,113.518,113.516,0.00259399
117,112.436,112.435,0.000961304
118,209.954,209.956,0.00187683
119,168.375,168.374,0.00135803
120,234.033,234.032,0.000335693
121,215.74,215.74,0.000610352
122,233.106,233.106,0.000152588
123,159.824,159.825,0.00157166
124,21.9407,21.9387,0.00201416
125,125.823,125.821,0.00224304
126,111.394,111.394,0.000152588
127,141.885,141.886,0.00196838
128,97.2817,97.2803,0.00143433
129,197.772,197.772,0.000686646
130,134.593,134.594,6.10352e-05
131,60.1519,60.1501,0.0017395
132,95.7911,95.793,0.00189209
133,42.5549,42.5525,0.00236511
134,175.541,175.541,0.000823975
135,157.192,157.191,0.000915527
