index,expected,actual,diff
0,-37.4783,-2.20439,35.2739
1,13.9252,0.773331,13.1518
2,-69.531,-0.702408,68.8286
3,55.0324,0.555862,54.4765
4,-27.4005,-0.276779,27.1237
5,0.292267,0.00302124,0.289246
6,-28.8775,-0.291733,28.5858
7,-37.8836,-0.382645,37.501
8,4.76576,0.198303,4.56746
9,69.4282,0.701218,68.727
10,68.1297,0.688141,67.4416
11,-89.859,-0.907623,88.9514
12,54.0842,2.25377,51.8304
13,-53.0661,-0.536072,52.5301
14,26.7294,0.269958,26.4595
15,78.6972,0.794937,77.9022
16,-30.2092,-0.642578,29.5666
17,39.9697,2.22063,37.7491
18,7.29784,0.073761,7.22408
19,77.6452,2.98676,74.6585
20,36.8135,0.557724,36.2557
21,-26.8028,-0.27066,26.5322
22,41.3673,0.417786,40.9496
23,-61.5597,-0.62178,60.9379
24,-50.3133,-2.39584,47.9175
25,-86.2364,-1.30663,84.9298
26,18.3758,0.327957,18.0478
27,1.21082,0.0256805,1.18513
28,46.4282,0.469025,45.9592
29,30.8222,0.311295,30.5109
30,-21.3642,-0.215744,21.1484
31,8.40375,0.0848541,8.31889
32,-13.1309,-0.505096,12.6258
33,14.7127,0.148651,14.5641
34,34.9277,0.352829,34.5749
35,-108.768,-1.09871,107.67
36,10.2474,0.1035,10.1439
37,25.6724,0.259277,25.4131
38,83.1042,0.839371,82.2648
39,63.6013,0.642441,62.9588
40,53.868,0.544159,53.3239
41,1.53139,0.0154572,1.51593
42,43.9392,0.443863,43.4953
43,-26.7613,-0.27034,26.491
44,13.5654,0.136993,13.4284
45,-34.7042,-0.350632,34.3536
46,79.2289,0.800247,78.4286
47,-32.2442,-0.325729,31.9185
48,-30.7342,-0.310425,30.4237
49,39.0459,0.394379,38.6515
50,3.18597,0.032074,3.1539
51,38.9767,0.393723,38.583
52,-45.7096,-0.4617,45.2479
53,-35.082,-0.354416,34.7276
54,-107.635,-1.0872,106.547
55,17.5921,0.177612,17.4145
56,9.05501,0.0914154,8.96359
57,37.0108,0.373795,36.637
58,-33.3287,-0.336639,32.9921
59,35.0878,0.354416,34.7334
60,-28.5427,-0.288376,28.2543
61,38.5636,0.389572,38.174
62,-28.1063,-0.283844,27.8224
63,-35.8613,-0.362228,35.499
64,19.0977,1.12323,17.9744
65,55.8068,3.10045,52.7064
66,-38.2522,-0.386429,37.8658
67,28.6923,0.28978,28.4025
68,22.5146,0.227432,22.2872
69,21.6962,0.219147,21.4771
70,3.34113,0.0337677,3.30736
71,111.442,1.12566,110.316
72,-20.6166,-0.859146,19.7575
73,32.74,0.330688,32.4093
74,59.5726,0.6017,58.9709
75,-54.5626,-0.551102,54.0115
76,-5.96721,-0.24881,5.7184
77,0.459183,0.00457764,0.454605
78,-10.1622,-0.102676,10.0595
79,-95.9635,-0.96933,94.9942
80,-2.04085,-0.0431366,1.99771
81,20.5268,1.14038,19.3864
82,-49.7137,-0.502136,49.2116
83,-34.7544,-1.33676,33.4176
84,-28.4194,-0.430527,27.9889
85,-36.6514,-0.370239,36.2812
86,27.1393,0.274139,26.8651
87,-7.57867,-0.0766296,7.50204
88,-79.5434,-3.78809,75.7554
89,48.6522,0.737167,47.915
90,-45.0207,-0.803757,44.2169
91,-22.3292,-0.47493,21.8542
92,-63.6461,-0.642883,63.0032
93,86.2547,0.871307,85.3834
