index,expected,actual,diff
0,63.0446,63.0437,0.00088501
1,-1.11636,-1.1153,0.00106812
2,0.345642,0.345825,0.000183105
3,0.421326,0.421432,0.000106812
4,-0.265244,-0.265274,3.05176e-05
5,-0.347656,-0.347687,3.05176e-05
6,0.13623,0.136246,1.52588e-05
7,-0.126663,-0.126678,1.52588e-05
8,0.204849,0.205353,0.00050354
9,0.116714,0.116928,0.000213623
10,0.14325,0.143402,0.000152588
11,-0.402237,-0.402222,1.52588e-05
12,0.470505,0.471054,0.000549316
13,-0.216034,-0.21608,4.57764e-05
14,0.281647,0.281631,1.52588e-05
15,-0.808731,-0.808731,0
16,2.0567,2.05641,0.000289917
17,-4.5081,-4.50731,0.000793457
18,0.150894,0.150848,4.57764e-05
19,-0.813187,-0.813293,0.000106812
20,-0.649734,-0.64975,1.52588e-05
21,-0.429672,-0.429657,1.52588e-05
22,-0.150574,-0.150589,1.52588e-05
23,0.238678,0.238663,1.52588e-05
24,-3.62766,-3.62787,0.000213623
25,0.436966,0.436951,1.52588e-05
26,-0.024765,-0.0248108,4.57764e-05
27,-1.25467,-1.25391,0.000762939
28,0.211807,0.211777,3.05176e-05
29,-0.280136,-0.279968,0.000167847
30,0.292542,0.292557,1.52588e-05
31,-0.898376,-0.898376,0
32,-0.742279,-0.742447,0.000167847
33,0.246094,0.246078,1.52588e-05
34,-0.13121,-0.131226,1.52588e-05
35,0.440384,0.440613,0.000228882
36,-0.885406,-0.885391,1.52588e-05
37,-0.328171,-0.328171,0
38,-0.56459,-0.56456,3.05176e-05
39,-0.0982666,-0.0982056,6.10352e-05
40,-0.606735,-0.606796,6.10352e-05
41,-0.594574,-0.594589,1.52588e-05
42,0.256866,0.256866,0
43,-1.01503,-1.01503,0
44,0.204346,0.204361,1.52588e-05
45,0.127548,0.127563,1.52588e-05
46,0.17186,0.17189,3.05176e-05
47,-0.0619659,-0.0619659,0
48,0.0637665,0.0637512,1.52588e-05
49,-0.563583,-0.563599,1.52588e-05
50,0.10318,0.103226,4.57764e-05
51,0.410767,0.410767,0
52,-0.59346,-0.593475,1.52588e-05
53,0.0883179,0.0884705,0.000152588
54,-0.00883484,-0.00881958,1.52588e-05
55,0.203751,0.203751,0
56,-0.635147,-0.635101,4.57764e-05
57,-0.115753,-0.115738,1.52588e-05
58,0.331696,0.331818,0.00012207
59,-0.36026,-0.36026,0
60,-0.318192,-0.318192,0
61,0.500778,0.500778,0
62,0.0379639,0.0379486,1.52588e-05
63,-0.0163269,-0.0163269,0
64,57.5639,57.5628,0.00105286
65,0.904907,0.90564,0.000732422
66,-0.109558,-0.109406,0.000152588
67,-0.196259,-0.196198,6.10352e-05
68,-0.482498,-0.482483,1.52588e-05
69,-1.01912,-1.01913,1.52588e-05
70,0.147949,0.147934,1.52588e-05
71,-0.270187,-0.270172,1.52588e-05
72,2.36049,2.36122,0.000732422
73,0.286316,0.28653,0.000213623
74,-0.144516,-0.144348,0.000167847
75,-0.56221,-0.562241,3.05176e-05
76,-0.070755,-0.0704346,0.000320435
77,-0.45192,-0.451889,3.05176e-05
78,-0.0110779,-0.0110626,1.52588e-05
79,0.413467,0.413437,3.05176e-05
80,-2.86522,-2.86397,0.00125122
81,0.192963,0.193802,0.000839233
82,-0.402847,-0.402847,0
83,0.292709,0.292831,0.00012207
84,0.591888,0.591904,1.52588e-05
85,0.281067,0.281036,3.05176e-05
86,0.0650177,0.0650177,0
87,-0.26062,-0.260651,3.05176e-05
88,1.43779,1.43791,0.00012207
89,-0.513,-0.51297,3.05176e-05
90,1.30438,1.30402,0.000366211
91,0.290497,0.290802,0.000305176
92,-0.702026,-0.702057,3.05176e-05
93,0.00935364,0.00950623,0.000152588
94,0.594223,0.594223,0
95,0.440491,0.440475,1.52588e-05
96,2.28813,2.28833,0.000198364
97,0.637802,0.637833,3.05176e-05
98,-0.933502,-0.933472,3.05176e-05
99,-0.178024,-0.177841,0.000183105
100,-0.382065,-0.382065,0
101,-0.223816,-0.223801,1.52588e-05
102,0.298233,0.298233,0
103,0.247147,0.247131,1.52588e-05
104,-0.0157318,-0.0157318,0
105,-0.0619049,-0.0619354,3.05176e-05
106,0.155289,0.155289,0
107,0.175919,0.175934,1.52588e-05
108,-0.200104,-0.200104,0
109,0.333755,0.333725,3.05176e-05
110,0.802078,0.802063,1.52588e-05
111,-0.628235,-0.628265,3.05176e-05
112,-0.615692,-0.615692,0
113,-1.21172,-1.2117,1.52588e-05
114,-0.616913,-0.616898,1.52588e-05
115,0.139633,0.139648,1.52588e-05
116,0.190216,0.190216,0
117,-0.730179,-0.730072,0.000106812
118,-0.402237,-0.402267,3.05176e-05
119,-0.249344,-0.249359,1.52588e-05
120,0.348328,0.348297,3.05176e-05
121,0.179291,0.179276,1.52588e-05
122,0.405884,0.405991,0.000106812
123,-0.37767,-0.37764,3.05176e-05
124,-0.410019,-0.410049,3.05176e-05
125,0.628525,0.628494,3.05176e-05
126,0.605362,0.605316,4.57764e-05
127,-0.413437,-0.413452,1.52588e-05
128,57.9568,57.9559,0.000930786
129,0.678238,0.67897,0.000732422
130,0.264343,0.264511,0.000167847
131,0.0436554,0.0437164,6.10352e-05
132,-0.472183,-0.472214,3.05176e-05
133,0.702988,0.702957,3.05176e-05
134,-1.02078,-1.0208,1.52588e-05
135,0.436783,0.436752,3.05176e-05
136,1.98083,1.98138,0.000549316
137,-0.32373,-0.323563,0.000167847
138,-0.271317,-0.271179,0.000137329
139,-0.0532227,-0.0532227,0
140,-1.52606,-1.52583,0.000228882
141,0.395432,0.395432,0
142,0.112396,0.112396,0
143,-0.459076,-0.459076,0
144,-0.355972,-0.355469,0.00050354
145,-5.13805,-5.13722,0.000823975
146,-0.305511,-0.305557,4.57764e-05
147,2.57341,2.57355,0.000137329
148,-1.06192,-1.0619,1.52588e-05
149,0.39061,0.39061,0
150,0.374176,0.374161,1.52588e-05
151,0.196365,0.196365,0
152,-2.69391,-2.69411,0.000198364
153,-1.32332,-1.32341,9.15527e-05
154,-0.86113,-0.860901,0.000228882
155,0.665878,0.666016,0.000137329
156,-0.511581,-0.511566,1.52588e-05
157,-0.254181,-0.253998,0.000183105
158,-0.206314,-0.206314,0
159,-0.45903,-0.45903,0
160,0.137466,0.137527,6.10352e-05
161,-0.223007,-0.223022,1.52588e-05
162,0.223648,0.223618,3.05176e-05
163,0.0649414,0.065155,0.000213623
164,-0.562836,-0.562866,3.05176e-05
165,-0.0839081,-0.0839081,0
166,-0.130325,-0.130341,1.52588e-05
167,-0.196899,-0.196884,1.52588e-05
168,-0.235626,-0.235641,1.52588e-05
169,0.635681,0.635635,4.57764e-05
170,0.189926,0.189926,0
171,-0.896301,-0.896301,0
172,-0.0112457,-0.0112152,3.05176e-05
173,0.0729828,0.0729523,3.05176e-05
174,0.0643768,0.0643768,0
175,0.921936,0.921921,1.52588e-05
176,0.362289,0.362259,3.05176e-05
177,-0.386002,-0.386017,1.52588e-05
178,0.492035,0.49202,1.52588e-05
179,-0.0834961,-0.0835114,1.52588e-05
180,-0.465195,-0.465179,1.52588e-05
181,-0.214966,-0.214813,0.000152588
182,0.356735,0.356705,3.05176e-05
183,-0.25322,-0.25325,3.05176e-05
184,-0.0653381,-0.0653687,3.05176e-05
185,-0.457306,-0.457306,0
186,-0.196869,-0.196777,9.15527e-05
187,-0.683975,-0.684006,3.05176e-05
188,0.160049,0.160049,0
189,-0.0874939,-0.0874939,0
190,-0.107849,-0.107864,1.52588e-05
191,0.115051,0.115067,1.52588e-05
192,65.2987,65.2977,0.00102234
193,-0.53186,-0.530945,0.000915527
194,-0.171814,-0.171631,0.000183105
195,-0.0853577,-0.0852203,0.000137329
196,-0.536026,-0.536026,0
197,-0.288361,-0.288391,3.05176e-05
198,0.529526,0.529495,3.05176e-05
199,-0.108032,-0.108078,4.57764e-05
200,-4.89815,-4.89824,9.15527e-05
201,-1.33263,-1.33241,0.000213623
202,-0.775543,-0.775375,0.000167847
203,0.857941,0.85791,3.05176e-05
204,-1.16896,-1.16858,0.00038147
205,0.229233,0.229187,4.57764e-05
206,-0.55278,-0.552811,3.05176e-05
207,-0.214081,-0.214127,4.57764e-05
208,0.076355,0.0767517,0.000396729
209,-2.2251,-2.22432,0.000778198
210,-0.495087,-0.495132,4.57764e-05
211,0.834625,0.834763,0.000137329
212,1.19173,1.19171,1.52588e-05
213,-0.0498352,-0.049881,4.57764e-05
214,0.398666,0.398621,4.57764e-05
215,-0.214691,-0.214706,1.52588e-05
216,3.82741,3.82755,0.000137329
217,0.278809,0.278824,1.52588e-05
218,-0.616241,-0.616119,0.00012207
219,-2.16762,-2.16664,0.000976562
220,0.62709,0.627045,4.57764e-05
221,-0.918991,-0.918823,0.000167847
222,-0.181641,-0.181702,6.10352e-05
223,-0.110474,-0.110474,0
224,1.52052,1.52054,1.52588e-05
225,-0.664047,-0.664062,1.52588e-05
226,-0.435226,-0.435226,0
227,-0.0250244,-0.0247955,0.000228882
228,1.28891,1.28889,1.52588e-05
229,-0.134445,-0.134476,3.05176e-05
230,-0.0142822,-0.0142975,1.52588e-05
231,0.0652313,0.0651855,4.57764e-05
232,-0.209091,-0.209122,3.05176e-05
233,0.606827,0.606827,0
234,0.119049,0.118988,6.10352e-05
235,0.599716,0.599716,0
236,0.0692902,0.0692749,1.52588e-05
237,-0.87146,-0.871429,3.05176e-05
238,0.399857,0.399872,1.52588e-05
239,0.17511,0.17511,0
240,0.0778198,0.0777893,3.05176e-05
241,0.206833,0.206818,1.52588e-05
242,-0.579941,-0.579987,4.57764e-05
243,-0.0574188,-0.0574341,1.52588e-05
244,0.0708618,0.0708771,1.52588e-05
245,0.216751,0.21698,0.000228882
246,-0.236618,-0.236633,1.52588e-05
247,-0.0353699,-0.0353699,0
248,0.0173035,0.0172882,1.52588e-05
249,0.0233459,0.0233002,4.57764e-05
250,0.824951,0.825073,0.00012207
251,0.482529,0.482529,0
252,0.077179,0.0771637,1.52588e-05
253,0.531342,0.531342,0
254,0.355621,0.355591,3.05176e-05
255,0.407806,0.407776,3.05176e-05
256,57.551,57.5501,0.000930786
257,-4.60716,-4.60637,0.000793457
258,-0.961624,-0.961456,0.000167847
259,-0.266129,-0.266022,0.000106812
260,-0.0656586,-0.0656738,1.52588e-05
261,0.00515747,0.00517273,1.52588e-05
262,0.810226,0.810196,3.05176e-05
263,0.115646,0.115646,0
264,-3.64403,-3.64409,6.10352e-05
265,0.219955,0.220169,0.000213623
266,0.402451,0.402634,0.000183105
267,-0.951248,-0.951279,3.05176e-05
268,2.43449,2.43523,0.000732422
269,0.300766,0.300735,3.05176e-05
270,-0.598022,-0.598083,6.10352e-05
271,-0.0174255,-0.0174713,4.57764e-05
272,-0.286636,-0.286346,0.000289917
273,1.06384,1.06474,0.000900269
274,-0.128586,-0.128601,1.52588e-05
275,0.997574,0.997787,0.000213623
276,0.325134,0.325119,1.52588e-05
277,0.162445,0.162445,0
278,0.493835,0.493835,0
279,0.509048,0.509003,4.57764e-05
280,-0.742355,-0.742386,3.05176e-05
281,0.744507,0.744507,0
282,-1.38861,-1.38821,0.000396729
283,-1.10255,-1.10194,0.000610352
284,0.0533142,0.0533295,1.52588e-05
285,-0.552429,-0.552292,0.000137329
286,0.248367,0.248352,1.52588e-05
287,0.290268,0.290207,6.10352e-05
288,0.280701,0.280731,3.05176e-05
289,0.644547,0.644547,0
290,0.973984,0.973969,1.52588e-05
291,0.104065,0.104263,0.000198364
292,-0.806305,-0.806305,0
293,-0.158875,-0.158905,3.05176e-05
294,-0.374756,-0.374771,1.52588e-05
295,0.670105,0.670105,0
296,0.368881,0.368881,0
297,0.0979156,0.0979156,0
298,0.341034,0.341019,1.52588e-05
299,-0.206039,-0.20607,3.05176e-05
300,-1.21956,-1.21957,1.52588e-05
301,0.258469,0.258423,4.57764e-05
302,0.318832,0.318802,3.05176e-05
303,-0.213715,-0.213715,0
304,0.680145,0.68013,1.52588e-05
305,-0.0889587,-0.088974,1.52588e-05
306,0.327164,0.327133,3.05176e-05
307,-0.268143,-0.268173,3.05176e-05
308,-0.0460358,-0.0460205,1.52588e-05
309,0.26973,0.269882,0.000152588
310,-0.394638,-0.394669,3.05176e-05
311,0.0553894,0.0553894,0
312,-0.14595,-0.145935,1.52588e-05
313,0.351547,0.351578,3.05176e-05
314,-0.0180511,-0.0179901,6.10352e-05
315,0.41539,0.415344,4.57764e-05
316,-0.537857,-0.537888,3.05176e-05
317,1.13474,1.1347,3.05176e-05
318,-0.536163,-0.536148,1.52588e-05
319,0.600235,0.600204,3.05176e-05
320,56.1027,56.1017,0.000961304
321,3.46896,3.46994,0.000976562
322,0.256714,0.256851,0.000137329
323,-0.983414,-0.983322,9.15527e-05
324,0.783981,0.78392,6.10352e-05
325,0.0676575,0.0676422,1.52588e-05
326,-0.587448,-0.587479,3.05176e-05
327,0.421432,0.421417,1.52588e-05
328,-1.86766,-1.8676,6.10352e-05
329,-0.304932,-0.304749,0.000183105
330,-0.209793,-0.209641,0.000152588
331,0.379547,0.379547,0
332,-1.05473,-1.05452,0.000213623
333,-0.96463,-0.964676,4.57764e-05
334,0.531433,0.531418,1.52588e-05
335,-0.522629,-0.522675,4.57764e-05
336,0.0059967,0.00631714,0.000320435
337,-2.56961,-2.56871,0.000900269
338,0.40097,0.40094,3.05176e-05
339,1.26236,1.26241,4.57764e-05
340,0.478867,0.478882,1.52588e-05
341,-0.865662,-0.865646,1.52588e-05
342,0.476501,0.476517,1.52588e-05
343,0.886459,0.886459,0
344,0.0171051,0.0171204,1.52588e-05
345,-1.3056,-1.30562,1.52588e-05
346,-1.36386,-1.36353,0.000335693
347,0.429535,0.429733,0.000198364
348,0.214371,0.214386,1.52588e-05
349,-0.470428,-0.470276,0.000152588
350,0.261887,0.261856,3.05176e-05
351,-0.225815,-0.22583,1.52588e-05
352,0.753342,0.753372,3.05176e-05
353,-0.396011,-0.396057,4.57764e-05
354,0.0211639,0.0211639,0
355,-0.233292,-0.233093,0.000198364
356,-0.384842,-0.384872,3.05176e-05
357,0.222534,0.222519,1.52588e-05
358,-0.742142,-0.742157,1.52588e-05
359,-0.198395,-0.19841,1.52588e-05
360,0.314301,0.314255,4.57764e-05
361,-0.310059,-0.310074,1.52588e-05
362,-0.469131,-0.469147,1.52588e-05
363,0.200424,0.200394,3.05176e-05
364,-0.650513,-0.650543,3.05176e-05
365,-0.86232,-0.862289,3.05176e-05
366,-0.727127,-0.727142,1.52588e-05
367,-0.118362,-0.118393,3.05176e-05
368,0.155319,0.155304,1.52588e-05
369,-0.414673,-0.414673,0
