Module,CONST_W,LUTs,Registers,DSPs,BRAMs
dct8_chen_ts_CONST_W_8,8,1071,843,16,0
dct8_chen_ts_CONST_W_10,10,1069,841,16,0
dct8_chen_ts_CONST_W_12,12,1069,841,16,0
dct8_chen_ts_CONST_W_14,14,1069,841,16,0
dct8_chen_ts_CONST_W_16,16,1071,843,16,0
dct8_chen_ts_CONST_W_18,18,1071,843,16,0
dct8_chen_ts_CONST_W_20,20,1071,843,16,0
dct8_chen_ts_CONST_W_22,22,1071,843,16,0
dct8_chen_ts_CONST_W_24,24,1071,843,16,0
dct8_chen_ts_CONST_W_26,26,1255,843,24,0
dct8_chen_ts_CONST_W_28,28,1255,843,24,0
dct8_chen_ts_CONST_W_30,30,1255,843,24,0
dct8_chen_ts_CONST_W_32,32,1255,843,24,0
