index,expected,actual,diff
0,-1820.55,-1820.55,0.00012207
1,-2140.04,-2140,0.0371094
2,-346.909,-346.933,0.0246582
3,-237.947,-237.981,0.0338745
4,674.401,674.347,0.0539551
5,-1164.34,-1164.31,0.0372314
6,-944.999,-944.994,0.00512695
7,-1021.64,-1021.63,0.0055542
8,-880.6,-880.609,0.00958252
9,-856.292,-856.352,0.0602417
10,-862.425,-862.387,0.0375366
11,-127.603,-127.618,0.0149841
12,-2562.71,-2562.62,0.095459
13,1545.08,1544.98,0.102661
14,1680.52,1680.42,0.100586
15,664.23,664.142,0.0881958
16,-252.392,-252.454,0.0618744
17,-562.519,-562.479,0.0397949
18,1466.38,1466.3,0.0853271
19,1194.87,1194.8,0.0688477
20,1110.21,1110.19,0.0133057
21,467.635,467.62,0.0144958
22,-641.87,-641.901,0.0303955
23,1063.39,1063.3,0.0919189
24,-1055.76,-1055.77,0.0134277
25,-256.251,-256.276,0.0254211
26,-338.336,-338.388,0.0516968
27,769.082,769.051,0.0310669
28,-938.463,-938.489,0.0263672
29,-2050.56,-2050.46,0.102295
30,-2131.21,-2131.11,0.0969238
31,-142.769,-142.769,9.15527e-05
32,-568.575,-568.602,0.0270386
33,-270.643,-270.693,0.0500488
34,484.683,484.636,0.0465393
35,-1169.32,-1169.29,0.0279541
36,1955.38,1955.29,0.0822754
37,1886.44,1886.32,0.124023
38,-1385.79,-1385.78,0.00708008
39,167.818,167.757,0.060257
40,-644.362,-644.349,0.0123291
41,-421.226,-421.215,0.0108948
42,730.917,730.853,0.0647583
43,1255.97,1255.87,0.0957031
44,110.417,110.41,0.00669861
45,-227.177,-227.23,0.0527039
46,-867.91,-867.92,0.0098877
47,1474.34,1474.22,0.122925
48,-1899.29,-1899.25,0.0408936
49,691.447,691.386,0.0612183
50,-270.39,-270.422,0.031189
51,1109.42,1109.32,0.0957031
52,738.532,738.417,0.114685
53,932.883,932.748,0.134155
54,410.872,410.847,0.0245361
55,-350.228,-350.288,0.060791
56,-136.666,-136.695,0.0283356
57,847.269,847.207,0.0620117
58,-193.424,-193.386,0.038208
59,-992.142,-992.13,0.012207
60,2875.62,2875.51,0.112061
61,-1356.01,-1355.96,0.0557861
62,837.557,837.499,0.0581055
63,-601.474,-601.438,0.0360107
64,-564.977,-564.977,0.00012207
65,-1556.77,-1556.77,0.00488281
66,1130.7,1130.67,0.0310059
67,-212.537,-212.529,0.00831604
68,-1955.95,-1955.92,0.0296631
69,728.554,728.548,0.00512695
70,1140.32,1140.28,0.0397949
71,110.068,110.037,0.0306091
72,-1120.44,-1120.42,0.0252686
73,1952.15,1952.01,0.140991
74,858.657,858.604,0.0529785
75,-1749.33,-1749.18,0.149414
76,252.582,252.504,0.0779877
77,-1218.61,-1218.55,0.0614014
78,-739.519,-739.522,0.00335693
79,-927.819,-927.789,0.0303955
80,1874.79,1874.72,0.0622559
