index,expected,actual,diff
0,-32768,-9105.03,23663
1,-12560.6,7180.32,19740.9
2,-32768,7366.92,40134.9
3,-30404.7,-3771.28,26633.4
4,-32768,-24354.2,8413.8
5,-32768,13599.5,46367.5
6,-32768,-20059.6,12708.4
7,-32768,-11650.8,21117.2
8,-32768,-29730.4,3037.59
9,-32741.1,-10957.4,21783.7
10,-4252.31,5856.29,10108.6
11,-25755.3,-7467.84,18287.5
12,-32768,-12603.4,20164.6
13,-26338.1,-17083.8,9254.26
14,-32768,21544.6,54312.6
15,-32768,-16646.3,16121.7
16,-32768,12700.3,45468.3
17,-32768,-12406.9,20361.1
18,-32768,-8676.58,24091.4
19,-32768,11599,44367
20,-32768,13157.1,45925.1
21,-32768,-14135.2,18632.8
22,-32768,28376.7,61144.7
23,-32768,5593.11,38361.1
24,10893.9,-4260.44,15154.3
25,-32768,-22221,10547
26,-32768,8130.25,40898.2
27,-32768,21065.3,53833.3
28,-32768,12277.3,45045.3
29,-32768,-2883.62,29884.4
30,-32768,23058.4,55826.4
31,-32768,19757.5,52525.5
32,-32768,-13703.2,19064.8
33,-32768,-20207.6,12560.4
34,-32768,11073.3,43841.3
35,-32768,17419,50187
36,-32768,14899.3,47667.3
37,-32768,-23572.9,9195.14
38,-32768,14666.7,47434.7
39,-32768,23587.5,56355.5
40,-5910.64,-1992.48,3918.16
41,-32768,21789.9,54557.9
42,-377.65,21993.5,22371.2
43,-32768,8210.62,40978.6
44,-32768,10958.7,43726.7
45,-32768,7023.94,39791.9
46,-32768,-6906.28,25861.7
47,-32768,1245.53,34013.5
48,-32768,-22327.8,10440.2
49,-32768,-2767.39,30000.6
50,-32768,26139,58907
51,-27110.9,10159.5,37270.4
52,-32768,22028.2,54796.2
53,-32768,412.07,33180.1
54,-32768,12616.7,45384.6
55,-32768,9379.56,42147.6
56,-32768,2258.7,35026.7
57,7912.96,-8901.25,16814.2
58,-2151.97,20206.1,22358
59,-32768,6664.86,39432.9
60,-32768,-2432.9,30335.1
61,-32768,-26725.2,6042.83
62,-32768,-18372.9,14395.1
63,-32768,9863.92,42631.9
64,31815.6,3291.47,28524.1
65,-4056.9,-24191.3,20134.4
66,-32768,-7326.6,25441.4
67,-32768,-14783.1,17984.9
68,-32768,-16008.1,16759.9
69,-24046.8,12547.3,36594.1
70,-32768,21224.8,53992.8
71,-32768,25799.5,58567.5
72,-32768,4600.74,37368.7
73,-32768,12346.6,45114.6
74,18668.6,-14458.2,33126.8
75,20625.6,-10431.1,31056.6
76,-16499.9,6079.2,22579.1
77,-32768,-15545.3,17222.7
